Timestamp,Event,CPU_Temp_C,Note
13:28:28.704,SYSTEM_START,54.0,active=60s sleep=15s label=groupB_60-15
13:29:28.819,CYCLE_SLEEP,75.5,
13:29:43.821,CYCLE_ACTIVE,54.5,
13:30:43.828,CYCLE_SLEEP,76.5,
13:30:58.830,CYCLE_ACTIVE,55.6,
13:31:58.964,CYCLE_SLEEP,76.5,
13:32:13.966,CYCLE_ACTIVE,56.2,
13:33:14.028,CYCLE_SLEEP,79.3,
13:33:29.030,CYCLE_ACTIVE,57.3,
13:34:29.356,CYCLE_SLEEP,79.3,
13:34:44.358,CYCLE_ACTIVE,57.9,
13:35:44.764,CYCLE_SLEEP,80.4,
13:35:59.766,CYCLE_ACTIVE,59.0,
13:36:59.838,CYCLE_SLEEP,81.0,
13:37:14.840,CYCLE_ACTIVE,59.0,
13:38:15.128,CYCLE_SLEEP,81.0,
13:38:30.130,CYCLE_ACTIVE,59.0,
13:39:30.370,CYCLE_SLEEP,80.4,
13:39:45.372,CYCLE_ACTIVE,59.5,
13:40:37.522,THERMAL_CUTOFF,82.0,
13:40:45.488,CYCLE_SLEEP,76.0,
13:41:00.490,CYCLE_ACTIVE,58.4,
13:41:55.354,THERMAL_CUTOFF,82.0,
13:42:00.796,CYCLE_SLEEP,71.0,
13:42:15.798,CYCLE_ACTIVE,57.9,
13:43:16.105,CYCLE_SLEEP,80.4,
13:43:31.107,CYCLE_ACTIVE,57.9,
13:44:31.528,CYCLE_SLEEP,80.4,
13:44:46.530,CYCLE_ACTIVE,59.0,
13:45:46.704,CYCLE_SLEEP,80.4,
13:46:01.706,CYCLE_ACTIVE,59.0,
13:47:01.996,CYCLE_SLEEP,80.4,
13:47:16.998,CYCLE_ACTIVE,59.0,
13:47:59.655,THERMAL_CUTOFF,82.0,
13:48:17.332,CYCLE_SLEEP,78.8,
13:48:32.334,CYCLE_ACTIVE,59.0,
13:49:20.959,THERMAL_CUTOFF,82.0,
13:49:32.724,CYCLE_SLEEP,77.7,
13:49:47.726,CYCLE_ACTIVE,58.4,
13:50:47.778,CYCLE_SLEEP,81.0,
13:51:02.780,CYCLE_ACTIVE,59.5,
13:51:53.472,THERMAL_CUTOFF,82.6,
13:52:03.116,CYCLE_SLEEP,77.1,
13:52:18.118,CYCLE_ACTIVE,59.0,
13:53:13.600,THERMAL_CUTOFF,82.0,
13:53:18.600,CYCLE_SLEEP,66.1,
13:53:33.602,CYCLE_ACTIVE,57.9,
13:54:33.816,CYCLE_SLEEP,80.4,
13:54:48.818,CYCLE_ACTIVE,59.0,
13:55:34.444,THERMAL_CUTOFF,82.0,
13:55:49.124,CYCLE_SLEEP,78.2,
13:56:04.126,CYCLE_ACTIVE,58.4,
13:57:04.305,CYCLE_SLEEP,81.0,
13:57:19.308,CYCLE_ACTIVE,59.5,
13:58:18.848,THERMAL_CUTOFF,82.0,
13:58:23.848,CYCLE_SLEEP,67.2,
13:58:38.850,CYCLE_ACTIVE,57.9,
13:59:30.955,THERMAL_CUTOFF,82.0,
13:59:38.924,CYCLE_SLEEP,76.0,
13:59:53.926,CYCLE_ACTIVE,58.4,
14:00:44.137,THERMAL_CUTOFF,82.0,
14:00:54.244,CYCLE_SLEEP,77.1,
14:01:09.246,CYCLE_ACTIVE,58.4,
14:02:07.208,THERMAL_CUTOFF,82.0,
14:02:12.208,CYCLE_SLEEP,67.2,
14:02:27.210,CYCLE_ACTIVE,57.3,
14:03:27.557,CYCLE_SLEEP,81.0,
14:03:42.559,CYCLE_ACTIVE,60.6,
14:04:34.873,THERMAL_CUTOFF,82.0,
14:04:42.832,CYCLE_SLEEP,76.0,
14:04:57.834,CYCLE_ACTIVE,58.4,
14:05:58.124,CYCLE_SLEEP,81.0,
14:06:13.126,CYCLE_ACTIVE,59.0,
14:07:13.432,CYCLE_SLEEP,81.0,
14:07:28.434,CYCLE_ACTIVE,59.5,
14:08:28.449,CYCLE_SLEEP,81.0,
14:08:43.451,CYCLE_ACTIVE,60.0,
14:09:30.296,THERMAL_CUTOFF,82.0,
14:09:43.709,CYCLE_SLEEP,78.2,
14:09:58.711,CYCLE_ACTIVE,59.5,
14:10:58.944,CYCLE_SLEEP,81.5,
14:11:13.946,CYCLE_ACTIVE,59.5,
14:11:58.048,THERMAL_CUTOFF,82.0,
14:12:14.113,CYCLE_SLEEP,78.8,
14:12:29.116,CYCLE_ACTIVE,57.9,
14:13:15.268,THERMAL_CUTOFF,82.0,
14:13:29.152,CYCLE_SLEEP,78.8,
14:13:44.154,CYCLE_ACTIVE,59.5,
14:14:44.192,CYCLE_SLEEP,80.4,
14:14:59.194,CYCLE_ACTIVE,59.0,
14:15:58.152,THERMAL_CUTOFF,82.0,
14:16:03.152,CYCLE_SLEEP,66.1,
14:16:18.154,CYCLE_ACTIVE,57.9,
14:17:18.528,CYCLE_SLEEP,80.4,
14:17:33.530,CYCLE_ACTIVE,59.5,
14:18:15.412,THERMAL_CUTOFF,82.0,
14:18:33.868,CYCLE_SLEEP,79.3,
14:18:48.870,CYCLE_ACTIVE,58.4,
14:19:48.935,CYCLE_SLEEP,81.5,
14:20:03.937,CYCLE_ACTIVE,59.5,
14:20:55.680,THERMAL_CUTOFF,82.0,
14:21:04.080,CYCLE_SLEEP,76.5,
14:21:19.082,CYCLE_ACTIVE,58.4,
14:22:18.728,THERMAL_CUTOFF,82.0,
14:22:23.728,CYCLE_SLEEP,66.7,
14:22:38.730,CYCLE_ACTIVE,57.3,
14:23:39.072,CYCLE_SLEEP,80.4,
14:23:54.074,CYCLE_ACTIVE,59.0,
14:24:54.343,CYCLE_SLEEP,80.4,
14:25:09.345,CYCLE_ACTIVE,60.0,
14:25:54.756,THERMAL_CUTOFF,82.0,
14:26:09.452,CYCLE_SLEEP,79.3,
14:26:24.454,CYCLE_ACTIVE,58.4,
14:27:18.720,THERMAL_CUTOFF,82.0,
14:27:24.608,CYCLE_SLEEP,71.6,
14:27:39.610,CYCLE_ACTIVE,57.9,
14:28:39.812,CYCLE_SLEEP,80.4,
14:28:54.814,CYCLE_ACTIVE,59.5,
14:29:55.232,CYCLE_SLEEP,80.4,
14:30:10.234,CYCLE_ACTIVE,60.6,
14:30:52.694,THERMAL_CUTOFF,82.0,
14:31:10.380,CYCLE_SLEEP,79.3,
14:31:25.382,CYCLE_ACTIVE,58.4,
14:32:25.639,CYCLE_SLEEP,81.0,
14:32:40.641,CYCLE_ACTIVE,59.0,
14:33:40.987,CYCLE_SLEEP,81.5,
14:33:55.989,CYCLE_ACTIVE,59.0,
14:34:50.024,THERMAL_CUTOFF,82.0,
14:34:56.300,CYCLE_SLEEP,74.3,
14:35:11.302,CYCLE_ACTIVE,58.4,
14:36:11.320,CYCLE_SLEEP,81.0,
14:36:26.322,CYCLE_ACTIVE,59.5,
14:37:10.534,THERMAL_CUTOFF,82.6,
14:37:26.636,CYCLE_SLEEP,78.8,
14:37:41.638,CYCLE_ACTIVE,59.0,
14:38:35.786,THERMAL_CUTOFF,82.0,
14:38:41.646,CYCLE_SLEEP,73.2,
14:38:56.648,CYCLE_ACTIVE,57.9,
14:39:57.019,CYCLE_SLEEP,81.0,
14:40:12.021,CYCLE_ACTIVE,59.5,
14:40:48.516,THERMAL_CUTOFF,82.0,
14:41:12.110,CYCLE_SLEEP,80.4,
14:41:27.112,CYCLE_ACTIVE,58.4,
14:42:27.309,CYCLE_SLEEP,81.0,
14:42:42.311,CYCLE_ACTIVE,60.6,
14:43:30.348,THERMAL_CUTOFF,79.8,
14:43:42.524,CYCLE_SLEEP,78.8,
14:43:57.526,CYCLE_ACTIVE,59.0,
14:44:57.628,CYCLE_SLEEP,81.0,
14:45:12.630,CYCLE_ACTIVE,59.5,
14:46:12.747,CYCLE_SLEEP,81.5,
14:46:27.749,CYCLE_ACTIVE,59.5,
14:47:11.484,THERMAL_CUTOFF,82.0,
14:47:27.984,CYCLE_SLEEP,79.8,
14:47:42.986,CYCLE_ACTIVE,59.0,
14:48:40.678,THERMAL_CUTOFF,82.0,
14:48:45.682,CYCLE_SLEEP,66.1,
14:49:00.684,CYCLE_ACTIVE,59.5,
14:50:00.801,CYCLE_SLEEP,81.0,
14:50:15.804,CYCLE_ACTIVE,59.5,
14:51:05.615,THERMAL_CUTOFF,82.0,
14:51:16.076,CYCLE_SLEEP,78.2,
14:51:31.079,CYCLE_ACTIVE,59.0,
14:52:31.152,CYCLE_SLEEP,81.0,
14:52:46.154,CYCLE_ACTIVE,59.5,
14:53:25.618,THERMAL_CUTOFF,82.0,
14:53:46.313,CYCLE_SLEEP,79.8,
14:54:01.316,CYCLE_ACTIVE,59.0,
14:55:01.371,CYCLE_SLEEP,81.5,
14:55:16.373,CYCLE_ACTIVE,59.0,
14:56:07.416,THERMAL_CUTOFF,82.0,
14:56:16.744,CYCLE_SLEEP,76.5,
14:56:31.746,CYCLE_ACTIVE,58.4,
14:57:27.114,THERMAL_CUTOFF,82.0,
14:57:32.114,CYCLE_SLEEP,66.1,
14:57:47.116,CYCLE_ACTIVE,57.9,
14:58:47.204,CYCLE_SLEEP,81.5,
14:59:02.206,CYCLE_ACTIVE,59.5,
14:59:43.656,THERMAL_CUTOFF,82.0,
15:00:02.624,CYCLE_SLEEP,79.8,
15:00:17.626,CYCLE_ACTIVE,59.0,
15:01:09.883,THERMAL_CUTOFF,82.0,
15:01:17.836,CYCLE_SLEEP,74.9,
15:01:32.838,CYCLE_ACTIVE,58.4,
15:02:21.017,THERMAL_CUTOFF,82.0,
15:02:33.256,CYCLE_SLEEP,77.1,
15:02:48.258,CYCLE_ACTIVE,58.4,
15:03:48.504,CYCLE_SLEEP,81.5,
15:04:03.506,CYCLE_ACTIVE,60.0,
15:04:58.384,THERMAL_CUTOFF,82.0,
15:05:03.828,CYCLE_SLEEP,72.2,
15:05:18.830,CYCLE_ACTIVE,58.4,
15:06:19.255,CYCLE_SLEEP,81.0,
15:06:34.257,CYCLE_ACTIVE,60.0,
15:07:34.263,CYCLE_SLEEP,81.0,
15:07:49.265,CYCLE_ACTIVE,59.0,
15:08:32.224,THERMAL_CUTOFF,82.0,
15:08:49.528,CYCLE_SLEEP,79.3,
15:09:04.530,CYCLE_ACTIVE,59.0,
15:10:04.696,CYCLE_SLEEP,80.4,
15:10:19.698,CYCLE_ACTIVE,58.4,
15:11:20.092,CYCLE_SLEEP,80.4,
15:11:35.094,CYCLE_ACTIVE,58.4,
15:12:35.380,CYCLE_SLEEP,79.8,
15:12:50.382,CYCLE_ACTIVE,57.3,
15:13:50.792,CYCLE_SLEEP,78.2,
15:14:05.794,CYCLE_ACTIVE,56.2,
15:15:06.180,CYCLE_SLEEP,77.1,
15:15:21.182,CYCLE_ACTIVE,56.2,
15:16:21.388,CYCLE_SLEEP,77.1,
15:16:36.390,CYCLE_ACTIVE,55.6,
15:17:36.763,CYCLE_SLEEP,78.2,
15:17:51.766,CYCLE_ACTIVE,56.2,
15:18:52.104,CYCLE_SLEEP,78.2,
15:19:07.106,CYCLE_ACTIVE,56.8,
15:20:07.480,CYCLE_SLEEP,77.7,
15:20:22.482,CYCLE_ACTIVE,54.5,
15:21:22.516,CYCLE_SLEEP,77.1,
15:21:37.518,CYCLE_ACTIVE,55.1,
15:22:37.928,CYCLE_SLEEP,77.7,
15:22:52.930,CYCLE_ACTIVE,55.6,
15:23:53.257,CYCLE_SLEEP,76.5,
15:24:08.259,CYCLE_ACTIVE,56.2,
15:25:08.400,CYCLE_SLEEP,77.1,
15:25:23.402,CYCLE_ACTIVE,56.2,
15:26:23.820,CYCLE_SLEEP,77.1,
15:26:38.822,CYCLE_ACTIVE,54.5,
15:27:38.840,CYCLE_SLEEP,76.0,
15:27:53.842,CYCLE_ACTIVE,55.1,
15:28:54.126,CYCLE_SLEEP,77.1,
15:29:09.129,CYCLE_ACTIVE,55.1,
15:30:09.185,CYCLE_SLEEP,76.5,
15:30:24.187,CYCLE_ACTIVE,55.6,
15:31:24.569,CYCLE_SLEEP,77.1,
15:31:39.571,CYCLE_ACTIVE,55.6,
15:32:39.824,CYCLE_SLEEP,76.0,
15:32:54.826,CYCLE_ACTIVE,55.1,
15:33:55.021,CYCLE_SLEEP,76.5,
15:34:10.023,CYCLE_ACTIVE,54.0,
15:35:10.149,CYCLE_SLEEP,76.0,
15:35:25.151,CYCLE_ACTIVE,55.6,
15:36:25.569,CYCLE_SLEEP,76.5,
15:36:40.571,CYCLE_ACTIVE,55.6,
15:37:40.801,CYCLE_SLEEP,76.5,
15:37:55.803,CYCLE_ACTIVE,55.6,
15:38:55.852,CYCLE_SLEEP,76.0,
15:39:10.856,CYCLE_ACTIVE,55.1,
15:40:11.192,CYCLE_SLEEP,77.1,
15:40:26.194,CYCLE_ACTIVE,55.6,
15:41:26.500,CYCLE_SLEEP,75.5,
15:41:41.502,CYCLE_ACTIVE,54.5,
15:42:41.828,CYCLE_SLEEP,74.9,
15:42:56.830,CYCLE_ACTIVE,54.5,
15:43:57.186,CYCLE_SLEEP,75.5,
15:44:12.188,CYCLE_ACTIVE,55.1,
15:45:12.228,CYCLE_SLEEP,76.0,
15:45:27.230,CYCLE_ACTIVE,54.5,
15:46:27.745,CYCLE_SLEEP,72.7,
15:46:42.747,CYCLE_ACTIVE,55.6,
15:47:42.770,CYCLE_SLEEP,75.5,
15:47:57.772,CYCLE_ACTIVE,54.5,
15:48:57.852,CYCLE_SLEEP,76.0,
15:49:12.854,CYCLE_ACTIVE,54.0,
15:50:13.236,CYCLE_SLEEP,76.0,
15:50:28.238,CYCLE_ACTIVE,54.5,
15:51:28.636,CYCLE_SLEEP,76.5,
15:51:43.638,CYCLE_ACTIVE,55.6,
15:52:43.732,CYCLE_SLEEP,76.0,
15:52:58.734,CYCLE_ACTIVE,55.1,
15:53:58.856,CYCLE_SLEEP,76.0,
15:54:13.858,CYCLE_ACTIVE,55.1,
