Timestamp,Elapsed_s,Label,Total_W,CPU_Temp_C,Throttled_raw,EXT5V_V,0V8_AON_W,0V8_SW_W,1V1_SYS_W,1V8_SYS_W,3V3_ADC_W,3V3_DAC_W,3V3_SYS_W,3V7_WL_SW_W,DDR_VDD2_W,DDR_VDDQ_W,HDMI_W,VDD_CORE_W
19:05:48.422,0.0,A continuous,2.6488,40.6,0,5.09736,0.0027,0.2753,0.2119,0.3721,0.0008,0.0004,0.4709,0.0036,0.0173,0.0,0.0718,1.222
19:05:50.423,2.0,A continuous,2.6092,40.6,0,5.09602,0.0027,0.2731,0.2022,0.3633,0.0012,0.0,0.4744,0.0,0.0032,0.0,0.0743,1.2148
19:05:52.423,4.0,A continuous,2.6407,40.6,0,5.09736,0.0027,0.2698,0.1994,0.3661,0.0006,0.0,0.4687,0.0,0.0497,0.0,0.0693,1.2144
19:05:54.423,6.0,A continuous,2.6515,41.1,0,5.09066,0.0027,0.2707,0.214,0.3724,0.0016,0.0,0.4777,0.0107,0.0032,0.0,0.0761,1.2224
19:05:56.423,8.0,A continuous,2.6289,41.7,0,5.09736,0.0031,0.2743,0.2021,0.3678,0.0006,0.0,0.4841,0.0,0.0043,0.0,0.0705,1.222
19:05:58.423,10.0,A continuous,2.6478,40.6,0,5.09602,0.0031,0.2736,0.2026,0.3661,0.0006,0.0,0.4751,0.0036,0.0032,0.0,0.0748,1.2449
19:06:00.423,12.0,A continuous,2.6289,40.6,0,5.09736,0.0025,0.2718,0.2151,0.3688,0.0012,0.0004,0.4745,0.0036,0.0054,0.0,0.0717,1.214
19:06:02.423,14.0,A continuous,2.6191,41.1,0,5.09066,0.0025,0.2739,0.2015,0.3615,0.0008,0.0,0.4738,0.0071,0.0065,0.0,0.0767,1.2148
19:06:04.424,16.0,A continuous,2.0731,40.0,0,5.12416,0.0031,0.2753,0.1999,0.3582,0.0002,0.0002,0.4737,0.0108,0.014,0.0,0.0752,0.6624
19:06:06.424,18.0,A continuous,2.0501,40.0,0,5.12416,0.0026,0.2739,0.2128,0.3487,0.0006,0.0,0.4712,0.0,0.0097,0.0,0.0746,0.656
19:06:08.424,20.0,A continuous,2.054,40.0,0,5.12148,0.0027,0.2728,0.2032,0.3652,0.0006,0.0002,0.4712,0.0,0.0141,0.0,0.0746,0.6493
19:06:10.424,22.0,A continuous,2.0467,40.0,0,5.12014,0.0031,0.272,0.1994,0.3544,0.0006,0.0002,0.4741,0.0108,0.0075,0.0,0.0752,0.6493
19:06:12.424,24.0,A continuous,2.0387,39.5,0,5.1188,0.0035,0.2732,0.2108,0.3529,0.0006,0.0,0.4719,0.0072,0.0032,0.0,0.0721,0.6434
19:06:14.424,26.0,A continuous,2.0564,40.6,0,5.1121,0.0025,0.2734,0.2002,0.3584,0.0006,0.0,0.4706,0.0143,0.0032,0.0,0.0708,0.6624
19:06:16.424,28.0,A continuous,3.399,40.6,0,5.05984,0.0023,0.2884,0.2016,0.3881,0.0006,0.0,0.4616,0.0036,0.1241,0.0,0.0706,1.8583
19:06:18.424,30.0,A continuous,3.6385,42.2,0,5.03706,0.0027,0.2755,0.2022,0.3706,0.0006,0.0,0.7297,0.0106,0.0173,0.0,0.0735,1.9559
19:06:20.424,32.0,A continuous,3.3713,42.2,0,5.05984,0.0027,0.298,0.2016,0.3883,0.0012,0.0,0.4679,0.0,0.1436,0.0,0.0737,1.7943
19:06:22.424,34.0,A continuous,2.0759,41.7,0,5.11746,0.0031,0.2707,0.2032,0.3512,0.0002,0.0,0.4777,0.0179,0.0119,0.0,0.0715,0.6686
19:06:24.424,36.0,A continuous,2.095,41.1,0,5.1121,0.0027,0.273,0.1999,0.3582,0.0002,0.0,0.5229,0.0,0.0075,0.0,0.0744,0.6562
19:06:26.424,38.0,A continuous,2.0558,41.1,0,5.1188,0.0028,0.2705,0.2005,0.3514,0.0006,0.0,0.477,0.0107,0.0087,0.0,0.0777,0.656
19:06:28.424,40.0,A continuous,2.0588,40.6,0,5.1188,0.0024,0.274,0.2027,0.3579,0.0012,0.0002,0.4716,0.0072,0.013,0.0,0.0727,0.656
19:06:30.425,42.0,A continuous,2.0726,41.1,0,5.11478,0.0029,0.2739,0.1994,0.3564,0.0002,0.0,0.5003,0.0072,0.0043,0.0,0.0721,0.656
19:06:32.425,44.0,A continuous,2.0665,40.6,0,5.1188,0.0031,0.2719,0.1989,0.3528,0.0016,0.0,0.4966,0.0,0.0075,0.0,0.0714,0.6627
