Timestamp,Mode,Latency_ms,FPS,CPU_Usage_%,RAM_Usage_%,CPU_Temp_C,Throttled,Confidence_Max,Detection_Result
01:14:27.182,Active,422.7,0.0,39.3,12.3,56.2,Yes,0.0,None
01:14:27.614,Active,426.2,0.0,96.5,12.5,57.9,Yes,0.0,None
01:14:28.036,Active,416.1,0.0,99.4,12.5,57.9,Yes,0.0,None
01:14:28.476,Active,432.5,0.0,96.6,12.5,59.5,Yes,0.0,None
01:14:28.898,Active,414.0,0.0,98.8,12.5,60.0,Yes,0.0,None
01:14:29.314,Active,410.2,0.0,99.4,12.5,61.1,Yes,0.0,None
01:14:29.732,Active,412.5,0.0,99.4,12.5,60.6,Yes,0.0,None
01:14:30.155,Active,415.5,0.0,99.4,12.6,61.7,Yes,0.0,None
01:14:30.572,Active,410.9,0.0,99.4,12.6,63.9,Yes,0.0,None
01:14:30.992,Active,412.2,2.3,98.8,12.5,63.4,Yes,0.0,None
01:14:31.412,Active,414.6,2.3,100.0,12.6,63.4,Yes,0.0,None
01:14:31.834,Active,416.8,2.3,99.4,12.6,63.4,Yes,0.0,None
01:14:32.253,Active,412.9,2.3,98.8,12.6,63.4,Yes,0.0,None
01:14:32.676,Active,415.9,2.3,98.2,12.6,63.9,Yes,0.0,None
01:14:33.105,Active,421.3,2.3,97.7,12.6,64.5,Yes,0.0,None
01:14:33.534,Active,423.2,2.3,98.2,12.6,65.0,Yes,0.0,None
01:14:33.957,Active,417.0,2.3,98.8,12.5,65.0,Yes,0.0,None
01:14:34.377,Active,413.3,2.3,98.8,12.5,65.5,Yes,0.0,None
01:14:34.799,Active,411.7,2.3,97.0,12.4,65.5,Yes,0.0,None
01:14:35.218,Active,413.2,2.4,99.4,12.4,66.1,Yes,0.0,None
01:14:35.642,Active,417.9,2.4,99.4,12.4,65.5,Yes,0.0,None
01:14:36.061,Active,413.4,2.4,98.2,12.3,66.1,Yes,0.0,None
01:14:36.482,Active,415.6,2.4,99.4,12.3,66.7,Yes,0.0,None
01:14:36.906,Active,413.9,2.4,97.6,12.3,67.2,Yes,0.0,None
01:14:37.323,Active,411.7,2.4,98.8,12.3,67.8,Yes,0.0,None
01:14:37.748,Active,416.4,2.4,98.2,12.2,67.2,Yes,0.0,None
01:14:38.170,Active,413.7,2.4,97.6,12.2,67.8,Yes,0.0,None
01:14:38.606,Active,430.1,2.4,98.9,12.2,67.2,Yes,0.0,None
01:14:39.032,Active,416.6,2.4,98.2,12.2,67.8,Yes,0.0,None
01:14:39.458,Active,417.1,2.4,98.2,12.2,67.8,Yes,0.0,None
01:14:39.885,Active,416.5,2.4,97.7,12.1,67.8,Yes,0.0,None
01:14:40.306,Active,414.4,2.4,98.2,12.1,68.3,Yes,0.0,None
01:14:40.726,Active,414.1,2.4,99.4,12.1,68.8,Yes,0.0,None
01:14:41.146,Active,414.3,2.4,98.2,12.1,68.3,Yes,0.0,None
01:14:41.573,Active,418.5,2.4,97.7,12.1,68.8,Yes,0.0,None
01:14:41.996,Active,415.7,2.4,98.8,12.1,68.8,Yes,0.0,None
01:14:42.414,Active,412.7,2.4,98.8,12.1,68.8,Yes,0.0,None
01:14:42.845,Active,425.0,2.4,98.3,12.0,68.8,Yes,0.0,None
01:14:43.365,Active,435.4,2.4,81.9,12.0,69.4,Yes,0.0,None
01:14:43.824,Active,452.3,2.3,94.0,12.0,68.3,Yes,0.0,None
01:14:44.245,Active,412.1,2.3,98.2,12.0,69.4,Yes,0.0,None
01:14:44.665,Active,413.1,2.3,98.8,12.0,68.8,Yes,0.0,None
01:14:45.089,Active,417.3,2.3,98.8,12.0,68.8,Yes,0.0,None
01:14:45.512,Active,416.0,2.3,98.2,11.9,69.4,Yes,0.0,None
01:14:45.934,Active,414.5,2.3,98.8,12.0,69.4,Yes,0.0,None
01:14:46.355,Active,412.1,2.3,98.2,12.0,70.0,Yes,0.0,None
01:14:46.775,Active,415.0,2.3,98.2,11.9,69.4,Yes,0.0,None
01:14:47.198,Active,414.1,2.3,97.6,11.9,70.0,Yes,0.0,None
01:14:47.621,Active,417.5,2.3,98.8,11.9,70.0,Yes,0.0,None
01:14:48.042,Active,413.8,2.4,98.2,11.9,71.0,Yes,0.0,None
01:14:48.462,Active,414.2,2.4,98.8,11.9,71.6,Yes,0.0,None
01:14:48.894,Active,426.1,2.4,98.3,11.9,71.0,Yes,0.0,None
01:14:49.323,Active,423.5,2.4,97.1,11.8,70.5,Yes,0.0,None
01:14:49.747,Active,414.9,2.4,98.2,11.9,71.0,Yes,0.0,None
01:14:50.169,Active,413.1,2.4,98.2,11.9,70.5,Yes,0.0,None
01:14:50.590,Active,415.9,2.4,99.4,11.9,71.0,Yes,0.0,None
01:14:51.009,Active,413.7,2.4,98.2,11.9,70.0,Yes,0.0,None
01:14:51.429,Active,413.4,2.4,98.8,11.9,71.0,Yes,0.0,None
01:14:51.862,Active,426.1,2.4,97.1,11.9,72.2,Yes,0.0,None
01:14:52.292,Active,424.3,2.4,96.5,11.8,71.0,Yes,0.0,None
01:14:52.711,Active,413.0,2.4,98.8,11.8,71.6,Yes,0.0,None
01:14:53.130,Active,414.2,2.4,98.8,11.8,71.6,Yes,0.0,None
01:14:53.557,Active,418.6,2.4,98.8,11.8,71.0,Yes,0.0,None
01:14:53.976,Active,413.5,2.4,98.2,11.8,71.6,Yes,0.0,None
01:14:54.393,Active,411.8,2.4,100.0,11.8,71.6,Yes,0.0,None
01:14:54.813,Active,412.6,2.4,98.8,11.8,71.6,Yes,0.0,None
01:14:55.233,Active,414.6,2.4,98.8,11.8,71.6,Yes,0.0,None
01:14:55.658,Active,419.8,2.4,98.8,11.8,71.6,Yes,0.0,None
01:14:56.079,Active,415.6,2.4,98.2,11.8,71.6,Yes,0.0,None
