Timestamp,Elapsed_s,Label,Total_W,CPU_Temp_C,Throttled_raw,EXT5V_V,0V8_AON_W,0V8_SW_W,1V1_SYS_W,1V8_SYS_W,3V3_ADC_W,3V3_DAC_W,3V3_SYS_W,3V7_WL_SW_W,DDR_VDD2_W,DDR_VDDQ_W,HDMI_W,VDD_CORE_W
01:13:23.356,0.0,B 60 s / 15 s,2.2004,49.9,917504,5.16972,0.0029,0.2757,0.2151,0.365,0.0008,0.0002,0.4835,0.0071,0.0281,0.0,0.0759,0.746
01:13:25.356,2.0,B 60 s / 15 s,2.2089,50.5,917504,5.16972,0.0026,0.2714,0.2042,0.3633,0.0,0.0002,0.5264,0.0,0.0237,0.0,0.0702,0.7468
01:13:27.356,4.0,B 60 s / 15 s,2.1763,49.4,917504,5.16436,0.0031,0.2753,0.1999,0.3697,0.0032,0.0004,0.4719,0.0071,0.0291,0.0,0.0702,0.7463
01:13:29.356,6.0,B 60 s / 15 s,2.1774,50.5,917504,5.16436,0.0027,0.2718,0.2145,0.3723,0.0016,0.0002,0.4745,0.0,0.0293,0.0,0.0702,0.7404
01:13:31.356,8.0,B 60 s / 15 s,2.1967,49.4,917504,5.16034,0.003,0.2764,0.2038,0.3567,0.0004,0.0002,0.5001,0.0071,0.026,0.0,0.0702,0.7527
01:13:33.356,10.0,B 60 s / 15 s,2.1695,49.4,917504,5.16302,0.0025,0.2744,0.2036,0.3635,0.0016,0.0002,0.4745,0.0,0.0291,0.0,0.0676,0.7524
01:13:35.356,12.0,B 60 s / 15 s,2.1854,48.3,917504,5.16436,0.0033,0.274,0.2128,0.3688,0.0002,0.0002,0.468,0.0036,0.0389,0.0,0.0695,0.746
01:13:37.356,14.0,B 60 s / 15 s,2.1672,49.4,917504,5.16302,0.0028,0.2717,0.2022,0.365,0.0008,0.0002,0.4753,0.0036,0.0238,0.0,0.0696,0.7524
01:13:39.356,16.0,B 60 s / 15 s,2.1516,49.9,917504,5.16972,0.0031,0.2718,0.2029,0.3661,0.0002,0.0,0.4716,0.0,0.0216,0.0,0.0677,0.7466
01:13:41.360,18.0,B 60 s / 15 s,2.1569,48.8,917504,5.171059,0.0031,0.2722,0.2015,0.3608,0.0004,0.0002,0.4654,0.0,0.0281,0.0,0.0733,0.7519
01:13:43.357,20.0,B 60 s / 15 s,2.1429,49.9,917504,5.16436,0.003,0.2753,0.2043,0.3644,0.0006,0.0004,0.4557,0.0,0.0292,0.0,0.0702,0.7399
01:13:45.357,22.0,B 60 s / 15 s,2.1886,48.8,917504,5.16436,0.0027,0.2718,0.2017,0.3742,0.0,0.0002,0.4712,0.0072,0.0325,0.0,0.0809,0.7463
01:13:47.357,24.0,B 60 s / 15 s,2.1978,48.3,917504,5.16302,0.0031,0.2752,0.2151,0.3706,0.0002,0.0002,0.4859,0.0036,0.0291,0.0,0.0683,0.7466
01:13:49.357,26.0,B 60 s / 15 s,2.1449,48.8,917504,5.16704,0.0028,0.273,0.2016,0.3685,0.0004,0.0,0.4689,0.0,0.0195,0.0,0.0709,0.7393
01:13:51.357,28.0,B 60 s / 15 s,2.1701,48.8,917504,5.16436,0.0031,0.2762,0.2032,0.3706,0.0016,0.0002,0.4714,0.0071,0.0269,0.0,0.0702,0.7396
01:13:53.357,30.0,B 60 s / 15 s,2.1719,49.4,917504,5.16436,0.0025,0.2713,0.2161,0.3591,0.0002,0.0,0.4719,0.0,0.0347,0.0,0.0702,0.746
01:13:55.357,32.0,B 60 s / 15 s,2.1656,48.3,917504,5.16972,0.0035,0.2713,0.2037,0.3679,0.0032,0.0002,0.4851,0.0,0.0184,0.0,0.0663,0.746
01:13:57.357,34.0,B 60 s / 15 s,2.1799,48.3,917504,5.171059,0.0031,0.273,0.2026,0.3724,0.0002,0.0002,0.4875,0.0,0.0249,0.0,0.0759,0.7401
01:13:59.357,36.0,B 60 s / 15 s,2.1727,48.3,917504,5.16704,0.0027,0.2749,0.2146,0.3671,0.0036,0.0,0.4697,0.0107,0.026,0.0,0.0702,0.7331
01:14:01.357,38.0,B 60 s / 15 s,2.1808,47.7,917504,5.16838,0.003,0.2737,0.2024,0.3679,0.0004,0.0,0.4848,0.0,0.039,0.0,0.0702,0.7393
01:14:03.357,40.0,B 60 s / 15 s,2.1494,48.3,917504,5.16704,0.003,0.2731,0.2022,0.3631,0.0008,0.0004,0.4644,0.0072,0.026,0.0,0.0753,0.734
01:14:05.357,42.0,B 60 s / 15 s,2.187,48.3,917504,5.171059,0.0031,0.2696,0.2259,0.3689,0.0004,0.0,0.4762,0.0036,0.0281,0.0,0.0708,0.7404
01:14:07.361,44.0,B 60 s / 15 s,2.1502,48.3,917504,5.16838,0.003,0.2723,0.2053,0.3706,0.0002,0.0004,0.4712,0.0,0.0129,0.0,0.0747,0.7396
01:14:09.357,46.0,B 60 s / 15 s,2.1421,48.8,917504,5.16436,0.0031,0.2731,0.2026,0.3592,0.0016,0.0,0.4712,0.0071,0.0173,0.0,0.0734,0.7334
