Timestamp,Elapsed_s,Label,Total_W,CPU_Temp_C,Throttled_raw,EXT5V_V,0V8_AON_W,0V8_SW_W,1V1_SYS_W,1V8_SYS_W,3V3_ADC_W,3V3_DAC_W,3V3_SYS_W,3V7_WL_SW_W,DDR_VDD2_W,DDR_VDDQ_W,HDMI_W,VDD_CORE_W
22:10:51.378,0.0,C 60 s / 30 s,2.1724,50.5,917504,5.14426,0.0027,0.2731,0.2032,0.3637,0.0016,0.0,0.4744,0.0,0.0304,0.0,0.07,0.7533
22:10:53.378,2.0,C 60 s / 30 s,2.1721,49.9,917504,5.15632,0.0025,0.2726,0.2034,0.368,0.0016,0.0002,0.4712,0.0,0.0238,0.0,0.07,0.7589
22:10:55.378,4.0,C 60 s / 30 s,2.2084,49.9,917504,5.15364,0.003,0.2757,0.2037,0.3684,0.0002,0.0004,0.5034,0.0,0.0215,0.0,0.0732,0.7589
22:10:57.378,6.0,C 60 s / 30 s,2.1981,51.0,917504,5.14962,0.0031,0.2734,0.2038,0.3689,0.0002,0.0,0.4875,0.0107,0.0281,0.0,0.07,0.7524
22:10:59.378,8.0,C 60 s / 30 s,2.1821,49.9,917504,5.15632,0.0029,0.2745,0.2036,0.3644,0.0002,0.0004,0.4769,0.0,0.0412,0.0,0.0718,0.746
22:11:01.378,10.0,C 60 s / 30 s,2.186,49.9,917504,5.14962,0.0027,0.2741,0.2043,0.3591,0.0,0.0004,0.4948,0.0,0.0249,0.0,0.0732,0.7524
22:11:03.378,12.0,C 60 s / 30 s,2.2066,49.9,917504,5.15364,0.0027,0.2716,0.2042,0.368,0.0032,0.0,0.4906,0.0036,0.0323,0.0,0.0712,0.7592
22:11:05.378,14.0,C 60 s / 30 s,2.1573,49.9,917504,5.15632,0.0029,0.277,0.201,0.3556,0.0004,0.0002,0.4622,0.0071,0.0281,0.0,0.07,0.7527
22:11:07.378,16.0,C 60 s / 30 s,2.2086,49.9,917504,5.14962,0.003,0.2722,0.2042,0.3617,0.0002,0.0004,0.5067,0.0071,0.0304,0.0,0.0756,0.7468
22:11:09.379,18.0,C 60 s / 30 s,2.1786,49.4,917504,5.14292,0.0027,0.2754,0.2016,0.3591,0.0008,0.0,0.4741,0.0071,0.0205,0.0,0.0719,0.7653
22:11:11.379,20.0,C 60 s / 30 s,2.191,50.5,917504,5.14426,0.0033,0.2778,0.2026,0.3654,0.0008,0.0,0.4827,0.0107,0.0302,0.0,0.0706,0.7468
22:11:13.379,22.0,C 60 s / 30 s,2.2444,49.9,917504,5.15096,0.0025,0.2724,0.2167,0.367,0.0016,0.0,0.51,0.0036,0.0411,0.0,0.0707,0.7589
22:11:15.379,24.0,C 60 s / 30 s,2.1587,50.5,917504,5.14426,0.0025,0.2708,0.2043,0.3654,0.0016,0.0,0.4744,0.0,0.0238,0.0,0.07,0.7457
22:11:17.379,26.0,C 60 s / 30 s,2.168,49.4,917504,5.14962,0.0026,0.2784,0.2053,0.3714,0.0002,0.0,0.468,0.0107,0.0162,0.0,0.0688,0.7463
22:11:19.379,28.0,C 60 s / 30 s,2.2368,49.4,917504,5.14962,0.003,0.2734,0.2153,0.3618,0.0,0.0004,0.5236,0.0,0.0334,0.0,0.0731,0.7527
22:11:21.379,30.0,C 60 s / 30 s,2.1838,49.4,917504,5.15632,0.0031,0.2703,0.2016,0.3679,0.0032,0.0,0.4827,0.0036,0.0347,0.0,0.0707,0.746
22:11:23.379,32.0,C 60 s / 30 s,2.174,49.9,917504,5.15498,0.0025,0.2714,0.2049,0.3615,0.0,0.0002,0.4774,0.0,0.0302,0.0,0.0726,0.7533
22:11:25.379,34.0,C 60 s / 30 s,2.1996,49.4,917504,5.15096,0.0027,0.2731,0.2166,0.3611,0.0032,0.0002,0.468,0.0107,0.0282,0.0,0.0701,0.7656
22:11:27.379,36.0,C 60 s / 30 s,2.1725,50.5,917504,5.14962,0.0027,0.2745,0.2043,0.3644,0.0032,0.0,0.4712,0.0036,0.0324,0.0,0.07,0.746
22:11:29.379,38.0,C 60 s / 30 s,2.1578,49.9,917504,5.15498,0.0023,0.2698,0.2049,0.3662,0.0032,0.0,0.4519,0.0071,0.0368,0.0,0.0688,0.7468
22:11:31.379,40.0,C 60 s / 30 s,2.1839,49.9,917504,5.14426,0.0028,0.2734,0.2161,0.3609,0.0,0.0002,0.4616,0.0,0.0151,0.0,0.0757,0.7782
22:11:33.379,42.0,C 60 s / 30 s,2.2021,49.9,917504,5.15632,0.0031,0.2717,0.204,0.3653,0.0002,0.0002,0.4875,0.0071,0.0335,0.0,0.0707,0.7589
22:11:35.379,44.0,C 60 s / 30 s,2.1812,49.4,917504,5.14962,0.0025,0.2715,0.2027,0.3654,0.0016,0.0002,0.4738,0.0036,0.0379,0.0,0.0756,0.7463
22:11:37.380,46.0,C 60 s / 30 s,2.1858,49.4,917504,5.15364,0.003,0.27,0.2156,0.3654,0.0016,0.0,0.4809,0.0,0.0216,0.0,0.075,0.7527
22:11:39.380,48.0,C 60 s / 30 s,2.161,49.9,917504,5.15766,0.0028,0.2748,0.201,0.3615,0.0004,0.0,0.4842,0.0107,0.0184,0.0,0.0738,0.7334
22:11:41.380,50.0,C 60 s / 30 s,2.186,49.4,917504,5.15632,0.0025,0.274,0.2038,0.3653,0.0,0.0,0.4777,0.0,0.04,0.0,0.0695,0.7533
22:11:43.380,52.0,C 60 s / 30 s,2.1818,49.4,917504,5.15632,0.0031,0.2739,0.2156,0.3685,0.0002,0.0004,0.4706,0.0071,0.0259,0.0,0.0707,0.7457
22:11:45.380,54.0,C 60 s / 30 s,2.1491,49.9,917504,5.15632,0.0034,0.2753,0.2013,0.3661,0.0002,0.0002,0.4657,0.0036,0.0238,0.0,0.07,0.7396
22:11:47.380,56.0,C 60 s / 30 s,2.1889,49.9,917504,5.14962,0.0034,0.2732,0.2048,0.3608,0.0004,0.0002,0.4881,0.0,0.0269,0.0,0.0713,0.7597
22:11:49.380,58.0,C 60 s / 30 s,2.2191,49.4,917504,5.15498,0.0027,0.2732,0.2233,0.3688,0.0032,0.0,0.4892,0.0036,0.0325,0.0,0.07,0.7527
22:11:51.380,60.0,C 60 s / 30 s,2.702,50.5,917504,5.1389,0.0031,0.2804,0.2041,0.3696,0.0002,0.0,0.4754,0.0036,0.08,0.0,0.0697,1.2159
22:11:53.380,62.0,C 60 s / 30 s,2.7729,51.6,917504,5.14024,0.0025,0.2708,0.2027,0.3672,0.0008,0.0008,0.4576,0.0,0.04,0.0,0.0698,1.3608
22:11:55.387,64.01,C 60 s / 30 s,8.2902,58.2,917504,4.96336,0.0027,0.3766,0.2042,0.4006,0.0032,0.0002,0.4842,0.0,0.1965,0.0112,0.0668,6.544
22:11:57.388,66.01,C 60 s / 30 s,9.403,61.5,917504,4.86018,0.0031,0.3297,0.2224,0.4097,0.0006,0.0008,0.539,0.0034,0.2712,0.0083,0.0692,7.5456
22:11:59.387,68.01,C 60 s / 30 s,8.8135,63.7,917504,4.89234,0.0031,0.3283,0.3481,0.4301,0.0,0.0002,0.5326,0.0,0.4412,0.0116,0.0652,6.6531
22:12:01.388,70.01,C 60 s / 30 s,9.7197,67.0,917504,4.99016,0.0031,0.3395,0.221,0.4171,0.0006,0.0008,0.5487,0.0345,0.3287,0.005,0.0661,7.7547
22:12:03.487,72.01,C 60 s / 30 s,9.4407,67.5,917504,5.0987,0.0028,0.3278,0.2327,0.4291,0.0,0.0004,0.5261,0.0,0.2992,0.0038,0.0679,7.5508
22:12:05.392,74.01,C 60 s / 30 s,9.658,69.2,917504,4.8709,0.0033,0.3189,0.2486,0.4433,0.0016,0.0002,0.5132,0.0103,0.1121,0.0,0.0681,7.9382
22:12:07.391,76.01,C 60 s / 30 s,8.8715,70.3,917504,4.9781,0.0029,0.3504,0.3566,0.4026,0.0004,0.0002,0.5107,0.0448,0.3348,0.0062,0.0668,6.7951
22:12:09.391,78.01,C 60 s / 30 s,7.0847,69.2,917504,5.08798,0.0031,0.405,0.2265,0.391,0.0004,0.0002,0.5624,0.0035,0.0194,0.0,0.0698,5.4032
22:12:11.396,80.01,C 60 s / 30 s,7.8512,71.9,917504,4.88162,0.0033,0.4128,0.2205,0.4186,0.0006,0.0004,0.5255,0.0,0.1639,0.0056,0.0623,6.0376
22:12:13.396,82.01,C 60 s / 30 s,7.2498,73.0,917504,4.88698,0.003,0.4239,0.3536,0.4155,0.0032,0.0008,0.5326,0.0,0.3189,0.0101,0.0637,5.1244
22:12:15.395,84.01,C 60 s / 30 s,6.5176,72.5,917504,4.88966,0.0027,0.4005,0.2496,0.439,0.0016,0.0002,0.5648,0.0,0.4716,0.0053,0.0683,4.314
22:12:17.395,86.01,C 60 s / 30 s,9.9958,71.9,917504,5.09602,0.0029,0.3082,0.2227,0.4434,0.0004,0.0008,0.5365,0.0,0.4587,0.0115,0.0698,7.9407
22:12:19.400,88.02,C 60 s / 30 s,6.5348,74.1,917504,4.88698,0.0034,0.3506,0.2188,0.3995,0.0016,0.0002,0.5971,0.0069,0.2286,0.0047,0.0615,4.6619
22:12:21.403,90.02,C 60 s / 30 s,10.044,74.1,917504,4.88162,0.0031,0.2973,0.3546,0.4215,0.0006,0.0002,0.5995,0.0,0.4392,0.0,0.0627,7.8652
22:12:23.399,92.02,C 60 s / 30 s,6.1259,74.1,917504,4.91914,0.0032,0.397,0.3201,0.4202,0.0006,0.0008,0.5035,0.0,0.4065,0.0127,0.063,3.9983
22:12:25.399,94.02,C 60 s / 30 s,8.2658,74.7,917504,4.88832,0.0031,0.3976,0.2859,0.4062,0.0,0.0002,0.5874,0.0173,0.1997,0.0124,0.0681,6.2881
22:12:27.399,96.02,C 60 s / 30 s,10.0456,74.7,917504,4.88162,0.0031,0.3481,0.2226,0.4068,0.0008,0.0004,0.5398,0.0,0.1989,0.0015,0.0623,8.2614
22:12:29.400,98.02,C 60 s / 30 s,8.525,75.2,917504,4.90976,0.0028,0.3773,0.249,0.4603,0.0016,0.0004,0.5621,0.007,0.533,0.0065,0.0619,6.2631
22:12:31.399,100.02,C 60 s / 30 s,10.1648,75.2,917504,4.88966,0.003,0.4185,0.3187,0.4357,0.0004,0.0008,0.5447,0.0034,0.3375,0.0,0.0652,8.0369
22:12:33.399,102.02,C 60 s / 30 s,8.7205,75.7,917504,4.88966,0.0031,0.3965,0.2383,0.4135,0.0016,0.0002,0.5939,0.0,0.4104,0.0103,0.0665,6.5861
22:12:35.399,104.02,C 60 s / 30 s,7.0064,75.2,917504,4.89234,0.0027,0.3957,0.3373,0.434,0.0002,0.0002,0.5426,0.0,0.2778,0.0,0.0619,4.954
22:12:37.401,106.02,C 60 s / 30 s,6.6662,75.7,917504,5.01562,0.003,0.3875,0.2497,0.4156,0.0016,0.0,0.5336,0.0308,0.3699,0.0083,0.0621,4.6041
22:12:39.399,108.02,C 60 s / 30 s,7.7419,78.5,917504,4.88564,0.0031,0.3983,0.2494,0.4001,0.0004,0.0002,0.5846,0.0,0.2202,0.0027,0.0641,5.8187
22:12:41.399,110.02,C 60 s / 30 s,10.4609,77.4,917504,4.99016,0.0033,0.3554,0.2515,0.4287,0.0018,0.0008,0.5648,0.0,0.4405,0.0112,0.0627,8.3401
22:12:43.400,112.02,C 60 s / 30 s,6.9454,77.4,917504,4.92048,0.0029,0.3687,0.2347,0.4304,0.0008,0.0002,0.6428,0.0,0.4777,0.0053,0.065,4.7169
22:12:45.399,114.02,C 60 s / 30 s,7.7737,76.3,917504,5.0853,0.0039,0.4864,0.249,0.4023,0.0016,0.0002,0.5993,0.0,0.5402,0.0097,0.0676,5.4134
22:12:47.403,116.02,C 60 s / 30 s,10.329,78.5,917504,4.88698,0.0031,0.4331,0.3542,0.4318,0.0008,0.0002,0.5391,0.0,0.2674,0.0053,0.0628,8.2312
22:12:49.403,118.02,C 60 s / 30 s,8.5297,77.4,917504,4.8709,0.0028,0.3329,0.2914,0.3967,0.0006,0.0002,0.5401,0.0,0.2185,0.0068,0.0622,6.6774
22:12:51.403,120.02,C 60 s / 30 s,8.9205,78.5,917504,4.9044,0.0033,0.4401,0.3815,0.4362,0.0016,0.0008,0.6007,0.0,0.4411,0.0227,0.0653,6.5272
22:12:53.403,122.02,C 60 s / 30 s,10.4097,77.4,917504,5.09736,0.0033,0.3705,0.3526,0.4029,0.0016,0.0002,0.5395,0.0,0.239,0.0103,0.065,8.4247
22:12:55.407,124.03,C 60 s / 30 s,9.6632,79.0,917504,4.90976,0.0034,0.3175,0.258,0.4073,0.0006,0.0008,0.5171,0.0,0.2177,0.0,0.0641,7.8767
22:12:57.403,126.03,C 60 s / 30 s,3.5083,69.2,917504,5.10272,0.0032,0.3785,0.3231,0.3865,0.0008,0.0002,0.5183,0.0,0.0292,0.0,0.0654,1.8031
22:12:59.403,128.03,C 60 s / 30 s,3.2608,67.0,917504,5.0987,0.0034,0.2998,0.2362,0.3758,0.0016,0.0008,0.5229,0.007,0.026,0.0,0.0682,1.719
22:13:01.403,130.03,C 60 s / 30 s,3.5504,64.2,917504,5.10272,0.0031,0.3776,0.2503,0.3812,0.0002,0.0,0.5358,0.0,0.0303,0.0,0.0695,1.9024
22:13:03.403,132.03,C 60 s / 30 s,2.5652,62.0,917504,5.1188,0.0026,0.2997,0.3545,0.3661,0.0008,0.0004,0.5021,0.0035,0.0346,0.0,0.0684,0.9325
22:13:05.403,134.03,C 60 s / 30 s,2.8674,60.4,917504,5.1389,0.0027,0.3514,0.3902,0.3707,0.0016,0.0002,0.5736,0.0141,0.0324,0.0,0.0697,1.0607
22:13:07.403,136.03,C 60 s / 30 s,2.6161,59.8,917504,5.1389,0.0033,0.3007,0.3772,0.367,0.002,0.0004,0.565,0.0106,0.0217,0.0,0.0679,0.9004
22:13:09.403,138.03,C 60 s / 30 s,2.5042,58.7,917504,5.12684,0.0027,0.3004,0.3383,0.3653,0.0002,0.0004,0.5139,0.0035,0.0281,0.0,0.0704,0.8811
