Timestamp,Elapsed_s,Label,Total_W,CPU_Temp_C,Throttled_raw,EXT5V_V,0V8_AON_W,0V8_SW_W,1V1_SYS_W,1V8_SYS_W,3V3_ADC_W,3V3_DAC_W,3V3_SYS_W,3V7_WL_SW_W,DDR_VDD2_W,DDR_VDDQ_W,HDMI_W,VDD_CORE_W
07:23:59.487,0.0,E 60 s / 60 s,2.177,50.5,917504,5.16838,0.0031,0.274,0.2039,0.3619,0.0016,0.0002,0.4706,0.0,0.0281,0.0,0.0677,0.7659
07:24:01.492,2.0,E 60 s / 60 s,2.2299,49.9,917504,5.16838,0.0029,0.2731,0.2293,0.3738,0.0004,0.0002,0.4719,0.0143,0.027,0.0,0.0715,0.7656
07:24:03.488,4.0,E 60 s / 60 s,2.1742,50.5,917504,5.171059,0.0031,0.271,0.2032,0.3633,0.0004,0.0002,0.4847,0.0,0.027,0.0,0.069,0.7524
07:24:05.488,6.0,E 60 s / 60 s,2.2038,50.5,917504,5.171059,0.0029,0.2754,0.2032,0.3725,0.0016,0.0,0.4876,0.0,0.0302,0.0,0.0709,0.7594
07:24:07.488,8.0,E 60 s / 60 s,2.1467,50.5,917504,5.1724,0.0031,0.2732,0.2026,0.3573,0.0032,0.0,0.4557,0.0072,0.0162,0.0,0.069,0.7592
07:24:09.488,10.0,E 60 s / 60 s,2.1746,50.5,917504,5.1657,0.0027,0.272,0.2048,0.3574,0.0002,0.0004,0.4712,0.0036,0.0325,0.0,0.0703,0.7594
07:24:11.488,12.0,E 60 s / 60 s,2.1844,50.5,917504,5.171059,0.003,0.2738,0.2039,0.3522,0.0032,0.0,0.4874,0.0071,0.0238,0.0,0.0702,0.7597
07:24:13.488,14.0,E 60 s / 60 s,2.1805,48.8,917504,5.1724,0.0035,0.2746,0.2042,0.3697,0.0006,0.0,0.4827,0.0,0.0215,0.0,0.0709,0.7527
07:24:15.488,16.0,E 60 s / 60 s,2.1769,49.4,917504,5.16972,0.0024,0.2724,0.2026,0.3632,0.0008,0.0,0.4813,0.0036,0.0237,0.0,0.0677,0.7592
07:24:17.488,18.0,E 60 s / 60 s,2.1761,50.5,917504,5.1724,0.0029,0.273,0.2026,0.372,0.0008,0.0,0.4774,0.0,0.0248,0.0,0.0702,0.7524
07:24:19.488,20.0,E 60 s / 60 s,2.2564,49.9,917504,5.17508,0.0027,0.2735,0.2032,0.3636,0.0016,0.0002,0.4859,0.0,0.026,0.0,0.0747,0.8251
07:24:21.488,22.0,E 60 s / 60 s,2.1911,50.5,917504,5.16436,0.0031,0.271,0.2049,0.375,0.0032,0.0,0.4696,0.0107,0.0238,0.0,0.0709,0.7589
07:24:23.488,24.0,E 60 s / 60 s,2.1757,49.9,917504,5.16838,0.0031,0.2748,0.2032,0.3653,0.0002,0.0,0.4745,0.0,0.0314,0.0,0.0709,0.7524
07:24:25.488,26.0,E 60 s / 60 s,2.1946,51.0,917504,5.171059,0.0029,0.2765,0.2016,0.3619,0.0008,0.0,0.4909,0.0,0.0367,0.0,0.0709,0.7524
07:24:27.493,28.0,E 60 s / 60 s,2.1762,50.5,917504,5.16838,0.0027,0.2715,0.2043,0.3617,0.0,0.0002,0.4844,0.0071,0.0152,0.0,0.0702,0.7589
07:24:29.489,30.0,E 60 s / 60 s,2.1911,49.9,917504,5.171059,0.0027,0.2724,0.2037,0.3637,0.0016,0.0002,0.4906,0.0,0.0226,0.0,0.0747,0.7589
07:24:31.489,32.0,E 60 s / 60 s,2.2159,50.5,917504,5.1724,0.0027,0.2708,0.2037,0.3668,0.0004,0.0002,0.4907,0.0143,0.0399,0.0,0.0677,0.7589
07:24:33.489,34.0,E 60 s / 60 s,2.1829,51.0,917504,5.16436,0.0031,0.2728,0.207,0.3786,0.0006,0.0,0.4719,0.0,0.0259,0.0,0.0702,0.7527
07:24:35.489,36.0,E 60 s / 60 s,2.1453,49.9,917504,5.16436,0.0027,0.27,0.2042,0.3635,0.0002,0.0,0.4675,0.0,0.0238,0.0,0.0677,0.7457
07:24:37.489,38.0,E 60 s / 60 s,2.1571,49.9,917504,5.16302,0.0027,0.2737,0.2016,0.3584,0.0008,0.0004,0.4709,0.0,0.0259,0.0,0.0703,0.7524
07:24:39.489,40.0,E 60 s / 60 s,2.1876,49.4,917504,5.171059,0.0025,0.2714,0.2155,0.3584,0.0002,0.0002,0.4809,0.0,0.0303,0.0,0.0696,0.7586
07:24:41.489,42.0,E 60 s / 60 s,2.1866,49.4,917504,5.171059,0.0029,0.274,0.2054,0.3643,0.0008,0.0,0.4816,0.0,0.0355,0.0,0.0696,0.7524
07:24:43.489,44.0,E 60 s / 60 s,2.1259,50.5,917504,5.16838,0.0029,0.275,0.1991,0.3614,0.0004,0.0,0.4625,0.0,0.0141,0.0,0.0706,0.7399
07:24:45.489,46.0,E 60 s / 60 s,2.1716,51.0,917504,5.1657,0.0031,0.2754,0.2269,0.3573,0.0004,0.0,0.4718,0.0,0.027,0.0,0.0703,0.7393
07:24:47.489,48.0,E 60 s / 60 s,2.1661,49.9,917504,5.171059,0.0025,0.2731,0.2032,0.3602,0.0016,0.0004,0.4641,0.0036,0.0345,0.0,0.0702,0.7527
07:24:49.489,50.0,E 60 s / 60 s,2.1581,49.9,917504,5.16436,0.0031,0.2731,0.2059,0.3617,0.0002,0.0002,0.4674,0.0071,0.0226,0.0,0.0702,0.7466
07:24:51.493,52.0,E 60 s / 60 s,2.1676,49.4,917504,5.171059,0.003,0.2701,0.205,0.3615,0.0004,0.0,0.4712,0.0,0.0367,0.0,0.0734,0.7463
