Timestamp,Mode,Latency_ms,FPS,CPU_Usage_%,RAM_Usage_%,CPU_Temp_C,Throttled,Confidence_Max,Detection_Result
14:52:09.319,Active,414.3,0.0,39.2,12.8,62.2,Yes,0.0,None
14:52:09.744,Active,418.4,0.0,98.2,13.0,62.2,Yes,0.0,None
14:52:10.187,Active,435.7,0.0,97.8,13.0,63.9,Yes,0.0,None
14:52:10.606,Active,410.9,0.0,98.8,13.0,64.5,Yes,0.0,None
14:52:11.023,Active,411.3,0.0,99.4,13.0,64.5,Yes,0.0,None
14:52:11.440,Active,410.5,0.0,98.8,13.0,65.5,Yes,0.0,None
14:52:11.861,Active,412.4,0.0,98.8,13.0,66.7,Yes,0.0,None
14:52:12.282,Active,412.0,0.0,98.2,13.1,66.7,Yes,0.0,None
14:52:12.703,Active,413.4,0.0,98.2,13.1,66.1,Yes,0.0,None
14:52:13.119,Active,408.9,2.3,98.8,13.1,68.3,Yes,0.0,None
14:52:13.535,Active,408.8,2.3,99.4,13.0,68.8,Yes,0.0,None
14:52:13.949,Active,408.6,2.3,99.4,13.0,68.3,Yes,0.0,None
14:52:14.368,Active,409.5,2.3,98.8,13.0,67.8,Yes,0.0,None
14:52:14.788,Active,411.2,2.3,98.2,13.0,68.8,Yes,0.0,None
14:52:15.206,Active,410.1,2.3,98.8,13.0,69.4,Yes,0.0,None
14:52:15.625,Active,410.8,2.3,98.2,13.0,68.8,Yes,0.0,None
14:52:16.047,Active,414.2,2.3,98.2,13.0,70.5,Yes,0.0,None
14:52:16.467,Active,412.3,2.3,98.8,13.0,70.5,Yes,0.0,None
14:52:16.890,Active,413.7,2.3,97.6,12.9,70.5,Yes,0.0,None
14:52:17.312,Active,411.8,2.4,98.8,12.9,71.0,Yes,0.0,None
14:52:17.736,Active,416.4,2.4,98.2,12.8,70.0,Yes,0.0,None
14:52:18.154,Active,411.1,2.4,98.2,12.8,71.0,Yes,0.0,None
14:52:18.575,Active,411.4,2.4,98.2,12.7,70.5,Yes,0.0,None
14:52:18.998,Active,413.0,2.4,98.2,12.7,72.2,Yes,0.0,None
14:52:19.418,Active,411.4,2.4,98.2,12.7,72.7,Yes,0.0,None
14:52:19.842,Active,413.6,2.4,97.7,12.6,71.6,Yes,0.0,None
14:52:20.262,Active,411.4,2.4,98.2,12.6,71.0,Yes,0.0,None
14:52:20.700,Active,427.4,2.4,98.3,12.7,72.2,Yes,0.0,None
14:52:21.119,Active,411.8,2.4,98.8,12.7,72.7,Yes,0.0,None
14:52:21.536,Active,408.6,2.4,98.2,12.7,73.2,Yes,0.0,None
14:52:21.955,Active,412.2,2.4,98.8,12.6,73.2,Yes,0.0,None
14:52:22.370,Active,408.9,2.4,99.4,12.6,72.7,Yes,0.0,None
14:52:22.790,Active,410.9,2.4,98.8,12.5,72.7,Yes,0.0,None
14:52:23.218,Active,418.5,2.4,98.8,12.5,73.2,Yes,0.0,None
14:52:23.638,Active,410.7,2.4,98.2,12.4,73.2,Yes,0.0,None
14:52:24.056,Active,412.1,2.4,99.4,12.4,73.8,Yes,0.0,None
14:52:24.471,Active,407.6,2.4,98.8,12.4,73.2,Yes,0.0,None
14:52:24.895,Active,416.2,2.4,98.8,12.4,73.8,Yes,0.0,None
14:52:25.319,Active,416.1,2.4,97.6,12.3,73.8,Yes,0.0,None
14:52:25.740,Active,413.1,2.4,98.2,12.3,73.8,Yes,0.0,None
14:52:26.160,Active,412.5,2.4,98.8,12.3,74.3,Yes,0.0,None
14:52:26.574,Active,408.6,2.4,98.8,12.3,73.8,Yes,0.0,None
14:52:26.993,Active,410.9,2.4,98.8,12.3,74.3,Yes,0.0,None
14:52:27.413,Active,410.6,2.4,98.2,12.2,74.3,Yes,0.0,None
14:52:27.835,Active,413.4,2.4,98.2,12.2,74.3,Yes,0.0,None
14:52:28.256,Active,411.0,2.4,98.2,12.2,74.3,Yes,0.0,None
14:52:28.679,Active,413.7,2.4,98.2,12.2,74.9,Yes,0.0,None
14:52:29.099,Active,411.9,2.4,98.2,12.1,73.8,Yes,0.0,None
