run,group,source,files,ultralytics_version,trained_utc,data_yaml,epochs,batch,imgsz,seed,optimizer,n_classes,class_order
v8s_seed0,revision,..\..\runs\detect\runs\detect\multiseed\seed0,args.yaml results.csv,8.4.87,2026-08-03T19:37:16.741846,data_orig_abs.yaml,150,4,640,0,auto,0,
v8s_seed1,revision,..\..\runs\detect\runs\detect\multiseed\seed1,args.yaml results.csv,8.4.87,2026-08-03T21:35:14.236805,data_orig_abs.yaml,150,4,640,1,auto,0,
v8s_seed2,revision,..\..\runs\detect\runs\detect\multiseed\seed2,args.yaml results.csv,8.4.87,2026-08-03T23:34:22.721102,data_orig_abs.yaml,150,4,640,2,auto,0,
v8s_seed3,revision,..\..\runs\detect\runs\detect\multiseed\seed3,args.yaml results.csv,8.4.87,2026-08-04T02:21:35.801975,data_orig_abs.yaml,150,4,640,3,auto,0,
v8s_seed4,revision,..\..\runs\detect\runs\detect\multiseed\seed4,args.yaml results.csv,8.4.87,2026-08-04T03:18:13.554593,data_orig_abs.yaml,150,4,640,4,auto,0,
table2_rtdetr_seed0,revision,..\..\runs\detect\runs\detect\runs_table2\table2_rtdetr_seed0,args.yaml results.csv,8.4.87,2026-08-04T22:32:49.679441,data_orig_abs.yaml,150,4,640,0,auto,0,
table2_rtdetr_seed1,revision,..\..\runs\detect\runs\detect\runs_table2\table2_rtdetr_seed1,args.yaml results.csv,8.4.87,2026-08-06T20:55:58.881728,data_orig_abs.yaml,150,4,640,1,auto,0,
table2_rtdetr_seed2,revision,..\..\runs\detect\runs\detect\runs_table2\table2_rtdetr_seed2,args.yaml results.csv,8.4.87,2026-08-07T02:28:59.013739,data_orig_abs.yaml,150,4,640,2,auto,0,
m1_regrouped_seed0,revision,..\..\runs\detect\runs_m1\m1_regrouped_seed0,args.yaml results.csv,8.4.87,2026-08-05T01:22:40.062604,data_regrouped.yaml,150,4,640,0,auto,0,
m1_regrouped_seed1,revision,..\..\runs\detect\runs_m1\m1_regrouped_seed1,args.yaml results.csv,8.4.87,2026-08-05T02:03:29.082552,data_regrouped.yaml,150,4,640,1,auto,0,
m1_regrouped_seed2,revision,..\..\runs\detect\runs_m1\m1_regrouped_seed2,args.yaml results.csv,8.4.87,2026-08-05T03:09:21.076854,data_regrouped.yaml,150,4,640,2,auto,0,
first_release_v11s_wholeleaf,first release,..\..\runs\detect\runs_paper2_ablation\yolov11s_wholeleaf_v1,args.yaml results.csv,8.4.87,2026-07-05T19:45:00.677971,data.yaml,150,4,640,0,auto,0,
table2_v11s_seed0,revision,..\..\runs\detect\runs_table2\table2_v11s_seed0,args.yaml results.csv,8.4.87,2026-08-04T12:06:07.954089,data_orig_abs.yaml,150,4,640,0,auto,0,
table2_v11s_seed1,revision,..\..\runs\detect\runs_table2\table2_v11s_seed1,args.yaml results.csv,8.4.87,2026-08-04T13:25:41.893321,data_orig_abs.yaml,150,4,640,1,auto,0,
table2_v11s_seed2,revision,..\..\runs\detect\runs_table2\table2_v11s_seed2,args.yaml results.csv,8.4.87,2026-08-04T14:44:39.270943,data_orig_abs.yaml,150,4,640,2,auto,0,
table2_v8s_seed0,revision,..\..\runs\detect\runs_table2\table2_v8s_seed0,args.yaml results.csv,8.4.87,2026-08-04T09:15:54.554251,data_orig_abs.yaml,150,4,640,0,auto,0,
table2_v8s_seed1,revision,..\..\runs\detect\runs_table2\table2_v8s_seed1,args.yaml results.csv,8.4.87,2026-08-04T10:13:59.541117,data_orig_abs.yaml,150,4,640,1,auto,0,
table2_v8s_seed2,revision,..\..\runs\detect\runs_table2\table2_v8s_seed2,args.yaml results.csv,8.4.87,2026-08-04T10:54:41.949682,data_orig_abs.yaml,150,4,640,2,auto,0,
first_release_v8s_matched,first release,..\..\yolov8s_matched,args.yaml results.csv,8.4.100,2026-07-18T15:06:01.204806,data.yaml,150,4,640,0,auto,0,
