epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6427,1.09839,6.14543,1.38357,0.43149,0.06165,0.08541,0.05689,1.07675,7.57037,1.28952,0.000301783,0.000301783,0.000301783
2,49.2428,1.19783,2.87869,1.37248,0.7547,0.1165,0.07969,0.05048,1.2582,5.51749,1.5026,0.000600792,0.000600792,0.000600792
3,72.4795,1.33918,2.57415,1.49044,0.70288,0.11607,0.023,0.01106,1.78378,6.70072,1.85858,0.0008958,0.0008958,0.0008958
4,94.9433,1.48944,2.56779,1.62843,0.73643,0.09524,0.0826,0.04404,1.48411,5.63476,1.73915,0.000891002,0.000891002,0.000891002
5,116.799,1.40561,2.50907,1.53982,0.9039,0.11012,0.13873,0.08288,1.41766,3.63047,1.57067,0.000885002,0.000885002,0.000885002
6,138.868,1.37006,2.32033,1.50347,0.7251,0.25765,0.07261,0.05268,1.32874,12.6686,1.61496,0.000879003,0.000879003,0.000879003
7,160.71,1.35254,2.25314,1.4913,0.97176,0.08339,0.12451,0.08699,1.25586,2.75147,1.47383,0.000873004,0.000873004,0.000873004
8,182.532,1.30486,2.18339,1.50202,0.64257,0.21614,0.14804,0.09204,1.43154,3.31843,1.62148,0.000867004,0.000867004,0.000867004
9,206.183,1.32295,2.20995,1.48661,0.63155,0.14031,0.13435,0.0909,1.37882,3.41707,1.59261,0.000861005,0.000861005,0.000861005
10,228.079,1.25848,2.19611,1.40495,0.88811,0.15094,0.16229,0.11524,1.33083,3.17792,1.58254,0.000855005,0.000855005,0.000855005
11,250.162,1.22246,2.1789,1.40189,0.65455,0.15175,0.12893,0.09637,1.30412,2.64501,1.5606,0.000849006,0.000849006,0.000849006
12,271.912,1.29191,2.06224,1.41353,0.90706,0.19056,0.20007,0.1282,1.33383,3.85634,1.60329,0.000843007,0.000843007,0.000843007
13,294.716,1.22696,2.03994,1.39755,0.89518,0.14312,0.18239,0.13134,1.304,2.34559,1.4677,0.000837007,0.000837007,0.000837007
14,317.502,1.15867,1.87786,1.35314,0.91392,0.17692,0.22628,0.16343,1.20649,2.53209,1.39762,0.000831008,0.000831008,0.000831008
15,339.91,1.20596,1.91098,1.39041,0.8686,0.15055,0.18271,0.13296,1.21477,2.56518,1.4045,0.000825008,0.000825008,0.000825008
16,361.643,1.20293,1.82799,1.35538,0.91206,0.22364,0.23201,0.15484,1.17971,2.30659,1.3749,0.000819009,0.000819009,0.000819009
17,383.538,1.10131,1.64513,1.32349,0.86635,0.23916,0.22825,0.16235,1.16681,2.23936,1.3777,0.00081301,0.00081301,0.00081301
18,405.664,1.11189,1.61195,1.34081,0.91452,0.23951,0.22656,0.1779,1.0176,2.34324,1.31264,0.00080701,0.00080701,0.00080701
19,427.806,1.10281,1.63959,1.30359,0.8409,0.19558,0.19128,0.13048,1.21504,2.42865,1.41829,0.000801011,0.000801011,0.000801011
20,449.509,1.09093,1.55611,1.30623,0.94891,0.18812,0.23753,0.17934,1.13932,1.93242,1.40371,0.000795011,0.000795011,0.000795011
21,473.308,1.07995,1.54638,1.3241,0.86618,0.25765,0.2516,0.19016,1.11386,2.17472,1.38829,0.000789012,0.000789012,0.000789012
22,495.249,1.13413,1.57983,1.3405,0.89826,0.20918,0.22367,0.1699,1.16469,1.9759,1.38611,0.000783013,0.000783013,0.000783013
23,517.324,1.04828,1.68705,1.28705,0.86238,0.21599,0.23064,0.16898,1.09366,2.22711,1.31137,0.000777013,0.000777013,0.000777013
24,539.951,1.03848,1.53857,1.26655,0.89633,0.24791,0.2673,0.2071,0.9593,1.90605,1.21295,0.000771014,0.000771014,0.000771014
25,562.544,1.00097,1.42148,1.24424,0.85501,0.23342,0.21573,0.17627,1.10038,2.02157,1.40449,0.000765014,0.000765014,0.000765014
26,584.643,1.02135,1.57443,1.25569,0.88592,0.23044,0.22562,0.18019,1.11069,2.08114,1.42296,0.000759015,0.000759015,0.000759015
27,606.76,0.93739,1.33317,1.19284,0.90566,0.24362,0.23699,0.19015,1.18954,1.89577,1.43288,0.000753016,0.000753016,0.000753016
28,628.817,0.97629,1.36394,1.24907,0.86808,0.28986,0.24921,0.18323,0.98212,2.40549,1.23737,0.000747016,0.000747016,0.000747016
29,650.603,0.94336,1.41695,1.19668,0.74781,0.20196,0.2262,0.17962,1.10072,2.21244,1.34834,0.000741017,0.000741017,0.000741017
30,672.611,0.91422,1.32109,1.19936,0.87374,0.24098,0.21172,0.16921,0.99571,2.1133,1.25894,0.000735017,0.000735017,0.000735017
31,694.41,0.99155,1.4837,1.26001,0.93209,0.19193,0.25897,0.18117,1.16535,2.13515,1.35073,0.000729018,0.000729018,0.000729018
32,716.05,0.8776,1.28676,1.15757,0.90732,0.21736,0.26999,0.19373,1.16675,1.95492,1.32552,0.000723019,0.000723019,0.000723019
33,737.702,0.92854,1.39691,1.22334,0.71322,0.20752,0.22297,0.16172,1.0297,2.4913,1.3041,0.000717019,0.000717019,0.000717019
34,759.958,0.92695,1.3628,1.20872,0.92399,0.25237,0.27788,0.20916,1.09061,1.81599,1.31518,0.00071102,0.00071102,0.00071102
