epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,373.052,0.52471,41.6813,0.45611,0.91895,0.11207,0.09886,0.0825,0.58162,1.7078,0.48513,0.000301783,0.000301783,0.000301783
2,739.039,0.41723,1.14377,0.34685,0.85309,0.18306,0.19232,0.1673,0.62262,0.84731,0.46952,0.000600792,0.000600792,0.000600792
3,1096.47,0.37007,1.01672,0.28177,0.91173,0.24027,0.23079,0.1904,0.83234,0.79309,0.71893,0.0008958,0.0008958,0.0008958
4,1475.4,0.37588,0.92634,0.29783,0.85184,0.23033,0.20306,0.16183,0.6401,0.66255,0.51676,0.000891002,0.000891002,0.000891002
5,1881.77,0.35238,1.00208,0.28716,0.89384,0.21331,0.21222,0.18285,0.59664,1.0808,0.51775,0.000885002,0.000885002,0.000885002
6,2099.3,0.40328,0.83215,0.31277,0.8914,0.21596,0.1961,0.16429,0.78704,0.58596,0.6236,0.000879003,0.000879003,0.000879003
7,2206.58,0.34675,0.80927,0.27993,0.94389,0.19454,0.22356,0.199,0.56602,0.9785,0.44408,0.000873004,0.000873004,0.000873004
8,2313.72,0.33111,0.80805,0.27189,0.94565,0.17363,0.20945,0.17281,0.70168,0.77391,0.45956,0.000867004,0.000867004,0.000867004
9,2421.49,0.33466,0.88646,0.28536,0.90029,0.21642,0.2158,0.18264,0.65692,0.99318,0.60436,0.000861005,0.000861005,0.000861005
10,2526.64,0.30956,0.86177,0.25984,0.56583,0.20911,0.24407,0.20811,0.59293,0.85327,0.37594,0.000855005,0.000855005,0.000855005
11,2634.81,0.364,0.76478,0.27946,0.92821,0.20049,0.21755,0.19181,0.60916,0.85439,0.43101,0.000849006,0.000849006,0.000849006
12,2818.95,0.33082,0.71535,0.22392,0.92601,0.2253,0.23329,0.20005,0.60175,1.35234,0.37911,0.000843007,0.000843007,0.000843007
