epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8744,1.03157,6.15027,1.33824,0.9531,0.08046,0.10972,0.07643,1.33693,9.48218,1.3607,0.000301783,0.000301783,0.000301783
2,46.0174,1.26069,3.03763,1.47221,0.95558,0.08621,0.14054,0.0931,1.43506,4.02876,1.52086,0.000600792,0.000600792,0.000600792
3,67.9654,1.31788,2.72107,1.5093,0.61716,0.1775,0.10133,0.06092,1.78342,6.12981,1.64478,0.0008958,0.0008958,0.0008958
4,89.611,1.42674,2.70112,1.55522,0.65094,0.19987,0.13676,0.07296,1.46312,12.0678,1.58605,0.000891002,0.000891002,0.000891002
5,112.045,1.37937,2.47578,1.55594,0.6718,0.20181,0.16123,0.1061,1.60994,4.47416,1.53425,0.000885002,0.000885002,0.000885002
6,134.148,1.37042,2.37236,1.56318,0.77035,0.17595,0.13421,0.07567,1.71396,4.40364,1.82308,0.000879003,0.000879003,0.000879003
7,155.964,1.37526,2.21694,1.56209,0.80049,0.17863,0.13257,0.08621,1.50202,3.21938,1.56894,0.000873004,0.000873004,0.000873004
8,179.019,1.38238,2.19509,1.56678,0.63768,0.12202,0.17192,0.11047,1.67613,3.97507,1.75664,0.000867004,0.000867004,0.000867004
9,201.897,1.30933,2.10699,1.52299,0.59437,0.19836,0.22681,0.15301,1.46629,2.74275,1.41836,0.000861005,0.000861005,0.000861005
10,224.17,1.2531,2.10113,1.43834,0.70449,0.22707,0.19748,0.12488,1.50158,3.41823,1.45357,0.000855005,0.000855005,0.000855005
11,245.971,1.18198,2.04763,1.38435,0.87826,0.2144,0.19589,0.13971,1.41311,2.63108,1.44827,0.000849006,0.000849006,0.000849006
12,267.844,1.16139,1.92451,1.34979,0.87744,0.20299,0.21082,0.15774,1.43166,2.85766,1.50142,0.000843007,0.000843007,0.000843007
13,289.521,1.22016,2.04344,1.37978,0.86643,0.18587,0.20627,0.14155,1.34356,2.50575,1.28628,0.000837007,0.000837007,0.000837007
14,311.499,1.18804,1.9231,1.35694,0.88929,0.22745,0.22646,0.1583,1.4298,3.24595,1.50506,0.000831008,0.000831008,0.000831008
15,333.459,1.14806,1.78614,1.37499,0.9292,0.22535,0.22636,0.16347,1.38866,2.8722,1.2757,0.000825008,0.000825008,0.000825008
16,355.39,1.1296,1.78066,1.33277,0.80184,0.16202,0.19886,0.14813,1.48184,2.99021,1.44057,0.000819009,0.000819009,0.000819009
17,377.234,1.14278,1.60981,1.35711,0.91308,0.21498,0.23337,0.16254,1.50072,2.61467,1.46284,0.00081301,0.00081301,0.00081301
18,399.254,1.07684,1.5965,1.31108,0.9205,0.23556,0.24408,0.19072,1.24177,3.01559,1.27816,0.00080701,0.00080701,0.00080701
19,422.047,1.03812,1.54929,1.29006,0.73048,0.21726,0.22277,0.15747,1.42551,2.63583,1.37981,0.000801011,0.000801011,0.000801011
20,445.01,1.11033,1.74566,1.32394,0.76386,0.24182,0.24816,0.19522,1.26825,2.59476,1.30766,0.000795011,0.000795011,0.000795011
21,467.513,1.01005,1.76248,1.25022,0.75437,0.23672,0.25536,0.20437,1.2976,3.76147,1.31652,0.000789012,0.000789012,0.000789012
22,490.88,1.07832,1.63153,1.3299,0.74681,0.22703,0.24797,0.18058,1.33976,2.91108,1.36962,0.000783013,0.000783013,0.000783013
23,512.917,1.03453,1.46764,1.27533,0.93209,0.20387,0.2423,0.17327,1.34276,2.54301,1.31177,0.000777013,0.000777013,0.000777013
24,534.792,1.08314,1.68796,1.30453,0.95754,0.255,0.26733,0.20985,1.36924,2.45888,1.34173,0.000771014,0.000771014,0.000771014
25,556.513,0.95928,1.50098,1.22063,0.77029,0.21888,0.28957,0.1889,1.39597,2.41641,1.41621,0.000765014,0.000765014,0.000765014
26,578.197,1.0255,1.48244,1.28966,0.72186,0.24638,0.32297,0.19619,1.36481,3.09678,1.47001,0.000759015,0.000759015,0.000759015
27,600.181,0.99181,1.37013,1.25298,0.73304,0.24315,0.23706,0.18251,1.40387,2.87082,1.37153,0.000753016,0.000753016,0.000753016
28,622.047,1.02425,1.46922,1.29722,0.94168,0.23187,0.23434,0.18919,1.20505,2.5213,1.23848,0.000747016,0.000747016,0.000747016
29,644.269,0.9191,1.25268,1.23326,0.94821,0.24182,0.25854,0.1959,1.30212,2.47143,1.28689,0.000741017,0.000741017,0.000741017
30,667.131,0.97661,1.4597,1.22449,0.61454,0.24642,0.42374,0.30159,1.23837,3.04482,1.16332,0.000735017,0.000735017,0.000735017
31,690.226,1.05066,1.5256,1.323,0.7548,0.23607,0.28554,0.20156,1.25215,2.49385,1.22473,0.000729018,0.000729018,0.000729018
32,712.221,0.94947,1.22994,1.21575,0.78136,0.25201,0.26474,0.21177,1.22106,3.73007,1.21193,0.000723019,0.000723019,0.000723019
33,734.343,0.92612,1.31006,1.22916,0.94392,0.25752,0.25849,0.20564,1.16151,2.37626,1.24146,0.000717019,0.000717019,0.000717019
34,756.198,0.87959,1.27931,1.20549,0.91346,0.25715,0.33316,0.20428,1.25641,2.21279,1.28361,0.00071102,0.00071102,0.00071102
35,777.949,0.91439,1.24024,1.2201,0.37998,0.41742,0.33464,0.24932,1.23421,2.70013,1.25415,0.00070502,0.00070502,0.00070502
36,799.524,0.92202,1.35006,1.22588,0.92009,0.25248,0.27022,0.21456,1.17367,2.25709,1.1716,0.000699021,0.000699021,0.000699021
37,821.211,0.87152,1.25912,1.18709,0.76962,0.23057,0.25414,0.20601,1.31768,2.42119,1.30061,0.000693022,0.000693022,0.000693022
38,842.977,0.90994,1.22576,1.20515,0.39716,0.34085,0.2792,0.20999,1.25807,2.82875,1.29171,0.000687022,0.000687022,0.000687022
39,864.723,0.89163,1.31279,1.20852,0.62203,0.23607,0.26431,0.21155,1.2035,2.8081,1.33845,0.000681023,0.000681023,0.000681023
40,887.081,0.8579,1.11895,1.16283,0.9484,0.23578,0.24819,0.20295,1.34798,2.97924,1.32994,0.000675023,0.000675023,0.000675023
41,910.346,0.85197,1.19785,1.16439,0.94069,0.24172,0.24711,0.20722,1.34144,2.61701,1.43542,0.000669024,0.000669024,0.000669024
42,933.303,0.86046,1.13154,1.16984,0.79705,0.23895,0.26606,0.21415,1.23599,2.52012,1.2558,0.000663025,0.000663025,0.000663025
43,955.674,0.88148,1.09328,1.19174,0.92129,0.20507,0.25158,0.19729,1.24417,3.05456,1.28193,0.000657025,0.000657025,0.000657025
44,977.659,0.83815,1.15087,1.16851,0.95698,0.23891,0.27989,0.22151,1.31558,2.1184,1.32937,0.000651026,0.000651026,0.000651026
45,999.779,0.90928,1.22907,1.19184,0.93678,0.25177,0.26243,0.21954,1.25914,2.44714,1.23187,0.000645026,0.000645026,0.000645026
46,1021.4,0.79568,1.10575,1.14997,0.63796,0.3351,0.27401,0.2156,1.22696,2.58186,1.25157,0.000639027,0.000639027,0.000639027
47,1042.96,0.83008,1.06841,1.14533,0.76853,0.24757,0.25842,0.21223,1.30252,2.4485,1.33356,0.000633028,0.000633028,0.000633028
48,1064.7,0.82373,1.0662,1.18548,0.31798,0.51326,0.35495,0.24376,1.23318,2.41622,1.25089,0.000627028,0.000627028,0.000627028
49,1088.36,0.77938,1.14975,1.13378,0.96874,0.20255,0.25425,0.20981,1.2606,2.2419,1.27314,0.000621029,0.000621029,0.000621029
50,1110.25,0.79028,1.04988,1.14357,0.95585,0.22836,0.25434,0.22007,1.2014,2.40213,1.25625,0.000615029,0.000615029,0.000615029
51,1132.81,0.80477,1.02912,1.15233,0.96392,0.24908,0.26189,0.22672,1.39471,2.78943,1.41322,0.00060903,0.00060903,0.00060903
52,1155.61,0.73172,0.97941,1.10758,0.971,0.25319,0.2675,0.22529,1.25985,2.42877,1.2658,0.000603031,0.000603031,0.000603031
53,1178.54,0.81436,1.04749,1.15537,0.61208,0.22613,0.2824,0.21307,1.16973,2.63492,1.28542,0.000597031,0.000597031,0.000597031
54,1200.46,0.77816,0.99905,1.13425,0.7781,0.2342,0.25036,0.2139,1.22597,2.50074,1.338,0.000591032,0.000591032,0.000591032
55,1222.49,0.778,1.03564,1.10839,0.79721,0.25338,0.26659,0.22244,1.3097,2.36504,1.30473,0.000585032,0.000585032,0.000585032
56,1244.51,0.80395,1.05064,1.16639,0.78389,0.24182,0.27851,0.22118,1.33407,2.85919,1.30848,0.000579033,0.000579033,0.000579033
57,1266.27,0.7673,1.15001,1.1122,0.78548,0.25464,0.2589,0.21894,1.29595,2.36509,1.32073,0.000573034,0.000573034,0.000573034
58,1287.86,0.83228,1.10398,1.14915,0.2672,0.33378,0.2682,0.21353,1.24112,2.31727,1.34414,0.000567034,0.000567034,0.000567034
59,1309.62,0.74647,1.06967,1.1113,0.7518,0.25752,0.27025,0.21738,1.29657,2.41706,1.34003,0.000561035,0.000561035,0.000561035
60,1331.46,0.80174,1.04026,1.16516,0.4562,0.3309,0.30265,0.22181,1.19183,2.1006,1.26234,0.000555035,0.000555035,0.000555035
61,1353.37,0.69844,0.95029,1.03835,0.29454,0.35642,0.31535,0.24886,1.22466,2.21087,1.30796,0.000549036,0.000549036,0.000549036
62,1376.04,0.78565,1.05646,1.1113,0.97933,0.24952,0.28159,0.22539,1.25212,2.57599,1.2957,0.000543037,0.000543037,0.000543037
63,1399.19,0.77468,0.98394,1.14511,0.4432,0.26039,0.26848,0.22035,1.28579,2.71307,1.29029,0.000537037,0.000537037,0.000537037
64,1421.79,0.70493,0.97336,1.11197,0.65285,0.42544,0.33923,0.22499,1.29382,2.3672,1.26576,0.000531038,0.000531038,0.000531038
65,1443.59,0.74244,1.0351,1.11678,0.62951,0.24182,0.26029,0.22519,1.32274,2.90613,1.28027,0.000525038,0.000525038,0.000525038
66,1465.66,0.70859,0.93933,1.09568,0.60771,0.23451,0.25358,0.21572,1.2944,2.33147,1.27865,0.000519039,0.000519039,0.000519039
