epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9725,1.04422,4.90042,1.35196,0.90773,0.16733,0.19451,0.12325,1.32009,5.95026,1.33622,0.000301783,0.000301783,0.000301783
2,111.611,1.23125,2.97107,1.43051,0.58396,0.10765,0.08477,0.04818,1.68888,5.46601,1.69743,0.000600792,0.000600792,0.000600792
3,167.851,1.30916,2.62317,1.49424,0.72783,0.18742,0.191,0.13178,1.53498,3.55823,1.58188,0.0008958,0.0008958,0.0008958
4,224.043,1.37238,2.56664,1.52601,0.63134,0.09615,0.08837,0.0589,1.54668,4.03278,1.54355,0.000891002,0.000891002,0.000891002
5,279.769,1.3458,2.36617,1.53232,0.80682,0.17617,0.15586,0.07659,1.40908,4.81803,1.67497,0.000885002,0.000885002,0.000885002
6,338.225,1.42887,2.44579,1.55645,0.7751,0.15071,0.12299,0.0665,1.39606,6.74689,1.52378,0.000879003,0.000879003,0.000879003
7,399.958,1.38425,2.24259,1.53853,0.53645,0.21596,0.20435,0.13495,1.25066,2.5586,1.42092,0.000873004,0.000873004,0.000873004
8,459.348,1.32476,2.13135,1.50336,0.43124,0.14807,0.17622,0.118,1.41241,2.55584,1.52797,0.000867004,0.000867004,0.000867004
9,514.899,1.20619,2.13165,1.4349,0.71701,0.19744,0.20976,0.14282,1.1815,3.62726,1.41017,0.000861005,0.000861005,0.000861005
10,571.501,1.21478,2.11218,1.41449,0.60157,0.21803,0.23867,0.14722,1.2657,2.04714,1.49238,0.000855005,0.000855005,0.000855005
11,628.698,1.16978,2.07773,1.39565,0.75415,0.18414,0.19608,0.14286,1.45111,2.42602,1.48859,0.000849006,0.000849006,0.000849006
12,679.885,1.14307,1.88292,1.36334,0.73335,0.14611,0.18412,0.1235,1.34939,2.61188,1.41595,0.000843007,0.000843007,0.000843007
13,732.576,1.23327,1.97783,1.41503,0.70306,0.19644,0.20388,0.14398,1.20565,2.10511,1.39379,0.000837007,0.000837007,0.000837007
14,787.675,1.16714,1.96039,1.34301,0.91398,0.24889,0.24003,0.16742,1.22962,2.75038,1.31838,0.000831008,0.000831008,0.000831008
15,841.752,1.14386,1.84608,1.38643,0.77573,0.22895,0.23214,0.15732,1.3434,2.50811,1.33237,0.000825008,0.000825008,0.000825008
16,899.009,1.06762,1.78768,1.28614,0.76867,0.21766,0.22703,0.1673,1.26858,2.59818,1.44753,0.000819009,0.000819009,0.000819009
17,949.394,1.11581,1.67899,1.33205,0.91316,0.23895,0.2393,0.17292,1.41522,2.78493,1.41315,0.00081301,0.00081301,0.00081301
18,981.703,1.07829,1.63468,1.28814,0.92225,0.22458,0.23812,0.18113,1.40466,2.76889,1.41524,0.00080701,0.00080701,0.00080701
19,1015,1.02322,1.53608,1.28564,0.9337,0.23392,0.23312,0.15222,1.53703,2.54167,1.45315,0.000801011,0.000801011,0.000801011
20,1046.96,1.17024,1.86626,1.34668,0.92599,0.21756,0.26027,0.18058,1.29161,2.47877,1.30263,0.000795011,0.000795011,0.000795011
21,1100.15,1.02949,1.87949,1.26258,0.67409,0.22193,0.24374,0.18687,1.32619,3.96562,1.33596,0.000789012,0.000789012,0.000789012
22,1150.95,1.10086,1.76414,1.33606,0.71604,0.22289,0.23661,0.18345,1.29885,2.73004,1.4417,0.000783013,0.000783013,0.000783013
23,1197.7,1.02129,1.49403,1.26808,0.75462,0.18574,0.2076,0.16223,1.31344,2.73852,1.30708,0.000777013,0.000777013,0.000777013
24,1220.07,1.02833,1.63849,1.26347,0.94466,0.24659,0.27001,0.20096,1.31305,2.47012,1.37299,0.000771014,0.000771014,0.000771014
25,1242.87,0.94364,1.53697,1.21322,0.92983,0.20843,0.22842,0.18483,1.27416,2.64464,1.23038,0.000765014,0.000765014,0.000765014
26,1265.18,1.00046,1.47194,1.26672,0.97034,0.17964,0.23947,0.1833,1.23946,2.80735,1.30696,0.000759015,0.000759015,0.000759015
27,1287.52,0.93425,1.35695,1.2104,0.73629,0.25534,0.24873,0.20297,1.2735,2.84988,1.23496,0.000753016,0.000753016,0.000753016
