epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7178,1.12581,5.81831,1.42767,0.79125,0.15782,0.1061,0.0666,1.40719,13.2921,1.44311,0.000301783,0.000301783,0.000301783
2,121.456,1.32546,3.43551,1.43155,0.91987,0.08333,0.07279,0.04216,1.95243,7.64077,2.04168,0.000600792,0.000600792,0.000600792
3,222.18,1.4836,2.63814,1.56547,0.62744,0.17706,0.14983,0.08146,1.57331,4.71493,1.72016,0.0008958,0.0008958,0.0008958
4,326.099,1.4454,2.57828,1.6259,0.71245,0.16138,0.16996,0.107,1.31421,3.65306,1.46805,0.000891002,0.000891002,0.000891002
5,379.822,1.50174,2.60727,1.62577,0.63899,0.14766,0.13095,0.08506,1.52652,4.37456,1.68839,0.000885002,0.000885002,0.000885002
6,451.646,1.48894,2.53587,1.61761,0.68908,0.15606,0.1446,0.09074,2.00165,5.82414,1.97491,0.000879003,0.000879003,0.000879003
7,542.94,1.40052,2.39078,1.55368,0.51658,0.159,0.17061,0.09567,1.37942,3.80557,1.5073,0.000873004,0.000873004,0.000873004
8,633.784,1.40927,2.39347,1.56629,0.6656,0.1576,0.14407,0.0871,1.32852,2.79974,1.47065,0.000867004,0.000867004,0.000867004
9,739.136,1.30448,2.13395,1.50623,0.80529,0.09483,0.18897,0.11991,1.44467,6.02001,1.46901,0.000861005,0.000861005,0.000861005
10,852.038,1.2737,2.12574,1.47986,0.56037,0.18421,0.20447,0.12188,1.39215,2.11858,1.43011,0.000855005,0.000855005,0.000855005
11,961.452,1.28902,2.0876,1.48483,0.59601,0.19474,0.22661,0.16307,1.24503,3.00774,1.38512,0.000849006,0.000849006,0.000849006
12,1063.11,1.2351,1.99666,1.42415,0.74537,0.16121,0.18308,0.12835,1.20055,2.67806,1.36124,0.000843007,0.000843007,0.000843007
13,1172.67,1.23333,1.99637,1.41079,0.71057,0.19761,0.21611,0.1421,1.25941,5.21499,1.57546,0.000837007,0.000837007,0.000837007
14,1283.97,1.17738,1.95538,1.38241,0.7262,0.2095,0.19755,0.14194,1.03532,2.1716,1.21971,0.000831008,0.000831008,0.000831008
15,1394.28,1.18316,1.90035,1.37152,0.58476,0.23097,0.23805,0.14861,1.19083,2.72863,1.44993,0.000825008,0.000825008,0.000825008
16,1505.44,1.2316,1.90186,1.46045,0.78781,0.19761,0.21844,0.15123,1.18168,2.21227,1.39734,0.000819009,0.000819009,0.000819009
17,1623.77,1.22585,1.81639,1.42289,0.74365,0.23613,0.24066,0.1663,1.22187,2.1438,1.47948,0.00081301,0.00081301,0.00081301
18,1729.62,1.17412,1.81129,1.3958,0.72528,0.18789,0.20792,0.15658,1.24772,2.40655,1.37603,0.00080701,0.00080701,0.00080701
19,1840.03,1.1236,1.75466,1.35342,0.75957,0.19201,0.20135,0.13077,1.32653,2.21006,1.49378,0.000801011,0.000801011,0.000801011
20,1949.24,1.15598,1.81307,1.40989,0.76628,0.19187,0.23047,0.17481,1.04944,2.44376,1.22251,0.000795011,0.000795011,0.000795011
21,2044.29,1.07989,1.74678,1.35459,0.71406,0.21618,0.22211,0.16647,0.99769,1.82818,1.26994,0.000789012,0.000789012,0.000789012
22,2147.67,1.05887,1.72749,1.31942,0.73937,0.24027,0.2555,0.1955,1.01846,1.71628,1.26797,0.000783013,0.000783013,0.000783013
23,2252.19,1.12035,1.58068,1.38747,0.76787,0.25752,0.2809,0.19329,1.02123,2.57183,1.19656,0.000777013,0.000777013,0.000777013
24,2370.62,1.00778,1.60006,1.2906,0.58045,0.24889,0.25529,0.18849,1.09453,2.29446,1.27722,0.000771014,0.000771014,0.000771014
25,2479.55,1.00511,1.48054,1.26967,0.75141,0.19982,0.22256,0.16582,1.07354,3.85748,1.23518,0.000765014,0.000765014,0.000765014
26,2587.56,1.04338,1.56305,1.31138,0.7646,0.24976,0.25882,0.19975,1.04694,2.53954,1.31608,0.000759015,0.000759015,0.000759015
27,2687.37,1.0328,1.6649,1.30976,0.5854,0.24,0.25133,0.18855,1.11,1.94593,1.24466,0.000753016,0.000753016,0.000753016
28,2785.53,1.04073,1.52668,1.31093,0.78064,0.25464,0.25119,0.18981,1.07408,3.01308,1.25045,0.000747016,0.000747016,0.000747016
29,2890,1.00076,1.58102,1.29483,0.55317,0.24878,0.24455,0.18782,1.09553,3.01078,1.34987,0.000741017,0.000741017,0.000741017
30,2995.55,0.98665,1.53963,1.2674,0.76125,0.21618,0.2458,0.17975,1.0935,2.63307,1.2169,0.000735017,0.000735017,0.000735017
31,3099.79,0.96574,1.505,1.26196,0.74698,0.22325,0.22078,0.16633,1.02402,2.01296,1.27491,0.000729018,0.000729018,0.000729018
32,3207.67,0.97497,1.53322,1.26045,0.59304,0.229,0.41579,0.22422,1.03008,4.98678,1.32758,0.000723019,0.000723019,0.000723019
33,3313.2,0.94452,1.47211,1.2699,0.78431,0.25392,0.29146,0.21034,1.07705,2.36219,1.27938,0.000717019,0.000717019,0.000717019
34,3405.77,0.94397,1.29576,1.26028,0.78732,0.25752,0.26984,0.21206,1.06307,1.96909,1.28366,0.00071102,0.00071102,0.00071102
35,3493.24,0.93235,1.39027,1.24039,0.76403,0.25177,0.25696,0.19736,0.94676,2.12271,1.24632,0.00070502,0.00070502,0.00070502
36,3601.36,0.98472,1.38264,1.2982,0.78416,0.26828,0.26355,0.20331,0.91729,1.70844,1.19057,0.000699021,0.000699021,0.000699021
37,3684.06,0.93619,1.32739,1.22797,0.77764,0.27334,0.27564,0.20521,0.98068,1.63926,1.19315,0.000693022,0.000693022,0.000693022
38,3762.2,0.9268,1.35863,1.24223,0.78089,0.25558,0.26184,0.21471,0.92989,1.89777,1.2285,0.000687022,0.000687022,0.000687022
