epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.47,1.08512,7.66688,1.37136,0.84104,0.13337,0.1405,0.10286,1.40814,7.94785,1.36985,0.000301783,0.000301783,0.000301783
2,39.7501,1.27146,2.92907,1.4952,0.79046,0.17905,0.1258,0.0711,1.79871,4.4013,1.72614,0.000600792,0.000600792,0.000600792
3,56.9263,1.32666,2.57975,1.51077,0.62271,0.16026,0.1478,0.08698,1.68708,3.16042,1.79234,0.0008958,0.0008958,0.0008958
4,74.0452,1.44029,2.70826,1.5828,0.52242,0.1134,0.13866,0.08398,1.647,3.34696,1.6458,0.000891002,0.000891002,0.000891002
5,91.697,1.42273,2.4682,1.57236,0.62105,0.09195,0.11039,0.07035,1.94267,4.10934,1.78291,0.000885002,0.000885002,0.000885002
6,109.053,1.4026,2.4583,1.53173,0.47586,0.20469,0.16589,0.10847,1.38283,4.35427,1.39767,0.000879003,0.000879003,0.000879003
7,126.503,1.38325,2.26604,1.53537,0.73629,0.1019,0.11065,0.07694,1.57509,3.14846,1.56688,0.000873004,0.000873004,0.000873004
8,144.899,1.38331,2.32055,1.57046,0.70184,0.19187,0.19353,0.11516,1.50577,2.98868,1.43442,0.000867004,0.000867004,0.000867004
9,162.37,1.29713,2.16508,1.48082,0.79533,0.14726,0.18537,0.13279,1.52397,3.01086,1.51615,0.000861005,0.000861005,0.000861005
10,179.921,1.22902,1.99443,1.40116,0.56136,0.22325,0.20566,0.1384,1.39227,2.77544,1.36503,0.000855005,0.000855005,0.000855005
11,197.459,1.20273,2.04517,1.40851,0.67035,0.21849,0.17827,0.13235,1.30142,2.69269,1.45715,0.000849006,0.000849006,0.000849006
12,215.218,1.16874,1.98398,1.3813,0.69125,0.18957,0.20337,0.14326,1.43505,3.24788,1.49711,0.000843007,0.000843007,0.000843007
13,232.648,1.26677,2.04522,1.40894,0.88776,0.20623,0.21784,0.14384,1.40058,2.73071,1.50164,0.000837007,0.000837007,0.000837007
14,250.159,1.14029,1.94299,1.3488,0.90481,0.22325,0.20735,0.13819,1.17124,2.65957,1.36523,0.000831008,0.000831008,0.000831008
15,267.515,1.13788,1.73891,1.39427,0.95407,0.18468,0.21993,0.15679,1.23335,2.5905,1.38095,0.000825008,0.000825008,0.000825008
16,285.355,1.11753,1.74545,1.33926,0.75468,0.18059,0.20587,0.15536,1.22132,4.2889,1.33346,0.000819009,0.000819009,0.000819009
17,302.545,1.12657,1.71437,1.3554,0.92472,0.19341,0.20777,0.15119,1.13095,2.68007,1.38356,0.00081301,0.00081301,0.00081301
18,319.87,1.10754,1.64731,1.3182,0.87624,0.23712,0.20705,0.14621,1.41159,3.07691,1.45785,0.00080701,0.00080701,0.00080701
19,337.002,1.04949,1.6455,1.30499,0.73066,0.21043,0.20884,0.15791,1.3853,2.83122,1.43881,0.000801011,0.000801011,0.000801011
20,355.11,1.14149,1.81194,1.3443,0.90317,0.20623,0.20455,0.15479,1.27816,2.6422,1.30444,0.000795011,0.000795011,0.000795011
21,372.372,1.07408,1.75587,1.2874,0.90478,0.25752,0.24308,0.19014,1.31895,3.41701,1.32744,0.000789012,0.000789012,0.000789012
