Timestamp,Mode,Latency_ms,FPS,CPU_Usage_%,RAM_Usage_%,CPU_Temp_C,Throttled,Confidence_Max,Detection_Result
19:01:12.734,Active,409.2,0.0,38.7,12.2,55.1,Yes,0.0,None
19:01:13.148,Active,406.8,0.0,98.2,12.2,55.6,Yes,0.0,None
19:01:13.564,Active,406.2,0.0,98.2,12.2,57.3,Yes,0.0,None
19:01:13.988,Active,418.5,0.0,98.8,12.3,57.9,Yes,0.0,None
19:01:14.405,Active,406.6,0.0,98.2,12.3,59.0,Yes,0.0,None
19:01:14.817,Active,403.5,0.0,98.2,12.3,59.0,Yes,0.0,None
19:01:15.231,Active,405.0,0.0,98.2,12.3,59.5,Yes,0.0,None
19:01:15.646,Active,408.4,0.0,98.8,12.3,60.0,Yes,0.0,None
19:01:16.057,Active,404.5,0.0,98.8,12.2,61.1,Yes,0.0,None
19:01:16.465,Active,402.8,2.4,100.0,12.2,60.6,Yes,0.0,None
19:01:16.878,Active,404.7,2.4,98.8,12.2,61.7,Yes,0.0,None
19:01:17.290,Active,404.3,2.4,98.2,12.2,62.2,Yes,0.0,None
19:01:17.702,Active,404.6,2.4,98.8,12.2,62.2,Yes,0.0,None
19:01:18.118,Active,407.9,2.4,98.8,12.2,62.2,Yes,0.0,None
19:01:18.534,Active,408.6,2.4,98.2,12.2,62.8,Yes,0.0,None
19:01:18.966,Active,423.6,2.4,98.8,12.2,63.4,Yes,0.0,None
19:01:19.380,Active,407.0,2.4,98.8,12.2,62.8,Yes,0.0,None
19:01:19.799,Active,410.6,2.4,98.2,12.2,63.9,Yes,0.0,None
19:01:20.234,Active,429.9,2.4,95.4,12.2,64.5,Yes,0.0,None
19:01:20.647,Active,406.2,2.4,98.8,12.2,64.5,Yes,0.0,None
19:01:21.063,Active,408.7,2.4,98.2,12.2,63.9,Yes,0.0,None
19:01:21.475,Active,404.9,2.4,98.8,12.2,65.0,Yes,0.0,None
19:01:21.891,Active,409.0,2.4,98.8,12.1,64.5,Yes,0.0,None
19:01:22.307,Active,408.4,2.4,98.2,12.1,64.5,Yes,0.0,None
19:01:22.722,Active,407.9,2.4,98.2,12.1,65.0,Yes,0.0,None
19:01:23.138,Active,410.2,2.4,99.4,12.1,65.5,Yes,0.0,None
19:01:23.550,Active,406.6,2.4,98.8,12.1,65.5,Yes,0.0,None
19:01:23.962,Active,405.9,2.4,98.8,12.1,66.1,Yes,0.0,None
19:01:24.394,Active,424.6,2.4,98.3,12.1,65.5,Yes,0.0,None
19:01:24.807,Active,404.7,2.4,99.4,12.1,66.1,Yes,0.0,None
19:01:25.220,Active,407.1,2.4,98.8,12.1,65.0,Yes,0.0,None
19:01:25.631,Active,404.9,2.4,98.8,12.0,67.2,Yes,0.0,None
19:01:26.046,Active,408.7,2.4,98.8,12.0,66.7,Yes,0.0,None
19:01:26.460,Active,405.6,2.4,98.2,12.0,67.2,Yes,0.0,None
19:01:26.870,Active,404.1,2.4,98.8,12.0,67.2,Yes,0.0,None
19:01:27.286,Active,408.1,2.4,98.2,12.0,67.2,Yes,0.0,None
19:01:27.696,Active,403.9,2.4,99.4,12.0,67.8,Yes,0.0,None
19:01:28.110,Active,408.6,2.4,99.4,12.0,67.2,Yes,0.0,None
19:01:28.522,Active,406.0,2.4,99.4,11.9,67.2,Yes,0.0,None
19:01:28.936,Active,407.8,2.4,98.8,11.9,67.8,Yes,0.0,None
