Timestamp,Event,CPU_Temp_C,Note
19:01:12.231,SYSTEM_START,50.1,active=60s sleep=15s label=groupB_60-15
19:02:12.511,CYCLE_SLEEP,73.2,
19:02:27.513,CYCLE_ACTIVE,53.5,
19:03:27.634,CYCLE_SLEEP,74.9,
19:03:42.636,CYCLE_ACTIVE,54.5,
19:04:42.674,CYCLE_SLEEP,76.0,
19:04:57.676,CYCLE_ACTIVE,55.6,
19:05:57.930,CYCLE_SLEEP,76.0,
19:06:12.932,CYCLE_ACTIVE,55.1,
19:07:13.051,CYCLE_SLEEP,75.5,
19:07:28.053,CYCLE_ACTIVE,55.1,
19:08:28.201,CYCLE_SLEEP,76.5,
19:08:43.203,CYCLE_ACTIVE,55.6,
19:09:43.442,CYCLE_SLEEP,74.3,
19:09:58.444,CYCLE_ACTIVE,55.6,
19:10:58.497,CYCLE_SLEEP,75.5,
19:11:13.499,CYCLE_ACTIVE,55.6,
19:12:13.674,CYCLE_SLEEP,76.5,
19:12:28.676,CYCLE_ACTIVE,55.6,
19:13:28.761,CYCLE_SLEEP,76.5,
19:13:43.763,CYCLE_ACTIVE,55.1,
19:14:44.099,CYCLE_SLEEP,75.5,
19:14:59.101,CYCLE_ACTIVE,55.1,
19:15:59.415,CYCLE_SLEEP,76.0,
19:16:14.417,CYCLE_ACTIVE,55.6,
19:17:14.722,CYCLE_SLEEP,76.0,
19:17:29.724,CYCLE_ACTIVE,55.6,
19:18:29.958,CYCLE_SLEEP,76.5,
19:18:44.960,CYCLE_ACTIVE,55.6,
19:19:45.093,CYCLE_SLEEP,76.0,
19:20:00.096,CYCLE_ACTIVE,56.2,
19:21:00.297,CYCLE_SLEEP,75.5,
19:21:15.299,CYCLE_ACTIVE,55.6,
19:22:15.498,CYCLE_SLEEP,75.5,
19:22:30.500,CYCLE_ACTIVE,54.5,
19:23:30.532,CYCLE_SLEEP,72.2,
19:23:45.534,CYCLE_ACTIVE,55.1,
19:24:45.694,CYCLE_SLEEP,75.5,
19:25:00.696,CYCLE_ACTIVE,55.6,
19:26:00.994,CYCLE_SLEEP,74.9,
19:26:15.996,CYCLE_ACTIVE,55.6,
19:27:16.234,CYCLE_SLEEP,74.9,
19:27:31.236,CYCLE_ACTIVE,54.5,
19:28:31.574,CYCLE_SLEEP,76.0,
19:28:46.576,CYCLE_ACTIVE,55.1,
19:29:46.802,CYCLE_SLEEP,75.5,
19:30:01.804,CYCLE_ACTIVE,55.6,
19:31:01.975,CYCLE_SLEEP,76.5,
19:31:16.977,CYCLE_ACTIVE,56.2,
19:32:17.030,CYCLE_SLEEP,76.0,
19:32:32.032,CYCLE_ACTIVE,55.6,
19:33:32.372,CYCLE_SLEEP,75.5,
19:33:47.374,CYCLE_ACTIVE,55.1,
19:34:47.442,CYCLE_SLEEP,76.5,
19:35:02.444,CYCLE_ACTIVE,55.1,
19:36:02.798,CYCLE_SLEEP,77.1,
19:36:17.800,CYCLE_ACTIVE,56.2,
19:37:17.943,CYCLE_SLEEP,77.1,
19:37:32.945,CYCLE_ACTIVE,57.3,
19:38:32.998,CYCLE_SLEEP,78.2,
19:38:48.000,CYCLE_ACTIVE,57.9,
19:39:48.342,CYCLE_SLEEP,78.8,
19:40:03.344,CYCLE_ACTIVE,56.8,
19:41:03.394,CYCLE_SLEEP,77.7,
19:41:18.396,CYCLE_ACTIVE,57.9,
19:42:18.741,CYCLE_SLEEP,77.7,
