Timestamp,Event,CPU_Temp_C,Note
06:30:44.612,SYSTEM_START,51.2,active=60s sleep=45s label=groupD_60-45
06:31:44.923,CYCLE_SLEEP,75.5,
06:32:29.931,CYCLE_ACTIVE,50.7,
06:33:29.967,CYCLE_SLEEP,76.5,
06:34:14.973,CYCLE_ACTIVE,51.8,
06:35:15.177,CYCLE_SLEEP,76.5,
06:36:00.183,CYCLE_ACTIVE,52.4,
06:37:00.415,CYCLE_SLEEP,76.5,
06:37:45.421,CYCLE_ACTIVE,51.8,
06:38:45.834,CYCLE_SLEEP,77.1,
06:39:30.840,CYCLE_ACTIVE,52.4,
06:40:31.075,CYCLE_SLEEP,77.7,
06:41:16.082,CYCLE_ACTIVE,52.4,
06:42:16.179,CYCLE_SLEEP,76.5,
06:43:01.185,CYCLE_ACTIVE,52.4,
06:44:01.355,CYCLE_SLEEP,77.1,
06:44:46.361,CYCLE_ACTIVE,52.4,
06:45:46.719,CYCLE_SLEEP,76.5,
06:46:31.725,CYCLE_ACTIVE,52.9,
06:47:32.107,CYCLE_SLEEP,76.5,
06:48:17.113,CYCLE_ACTIVE,52.4,
06:49:17.247,CYCLE_SLEEP,76.5,
06:50:02.253,CYCLE_ACTIVE,52.9,
06:51:02.443,CYCLE_SLEEP,76.0,
06:51:47.449,CYCLE_ACTIVE,51.2,
06:52:47.487,CYCLE_SLEEP,77.1,
06:53:32.493,CYCLE_ACTIVE,51.8,
06:54:32.519,CYCLE_SLEEP,76.5,
06:55:17.525,CYCLE_ACTIVE,51.8,
06:56:17.910,CYCLE_SLEEP,76.5,
06:57:02.916,CYCLE_ACTIVE,51.2,
06:58:02.917,CYCLE_SLEEP,76.5,
06:58:47.923,CYCLE_ACTIVE,51.8,
06:59:47.927,CYCLE_SLEEP,76.5,
07:00:32.933,CYCLE_ACTIVE,51.8,
07:01:33.151,CYCLE_SLEEP,77.1,
07:02:18.157,CYCLE_ACTIVE,52.4,
07:03:18.551,CYCLE_SLEEP,77.1,
07:04:03.557,CYCLE_ACTIVE,51.8,
07:05:03.715,CYCLE_SLEEP,76.5,
07:05:48.721,CYCLE_ACTIVE,51.8,
07:06:48.887,CYCLE_SLEEP,76.5,
07:07:33.893,CYCLE_ACTIVE,51.8,
07:08:34.255,CYCLE_SLEEP,76.5,
07:09:19.261,CYCLE_ACTIVE,51.8,
07:10:19.407,CYCLE_SLEEP,76.5,
07:11:04.413,CYCLE_ACTIVE,52.4,
07:12:04.471,CYCLE_SLEEP,76.0,
07:12:49.478,CYCLE_ACTIVE,52.4,
07:13:49.850,CYCLE_SLEEP,77.1,
07:14:34.855,CYCLE_ACTIVE,51.8,
07:15:35.030,CYCLE_SLEEP,76.0,
07:16:20.036,CYCLE_ACTIVE,51.8,
07:17:20.253,CYCLE_SLEEP,77.1,
07:18:05.259,CYCLE_ACTIVE,51.8,
07:19:05.635,CYCLE_SLEEP,76.5,
07:19:50.642,CYCLE_ACTIVE,51.8,
07:20:50.701,CYCLE_SLEEP,76.5,
07:21:35.707,CYCLE_ACTIVE,51.8,
07:22:36.039,CYCLE_SLEEP,76.0,
07:23:21.045,CYCLE_ACTIVE,51.8,
07:24:21.055,CYCLE_SLEEP,77.1,
07:25:06.061,CYCLE_ACTIVE,51.8,
07:26:06.171,CYCLE_SLEEP,76.5,
07:26:51.177,CYCLE_ACTIVE,51.8,
07:27:51.343,CYCLE_SLEEP,76.5,
07:28:36.349,CYCLE_ACTIVE,51.8,
07:29:36.443,CYCLE_SLEEP,76.5,
07:30:21.449,CYCLE_ACTIVE,52.4,
07:31:21.583,CYCLE_SLEEP,76.5,
07:32:06.590,CYCLE_ACTIVE,51.2,
07:33:06.731,CYCLE_SLEEP,77.1,
07:33:51.737,CYCLE_ACTIVE,51.8,
07:34:52.151,CYCLE_SLEEP,76.0,
07:35:37.157,CYCLE_ACTIVE,51.2,
07:36:37.323,CYCLE_SLEEP,76.5,
07:37:22.329,CYCLE_ACTIVE,52.4,
07:38:22.334,CYCLE_SLEEP,77.1,
07:39:07.340,CYCLE_ACTIVE,52.4,
07:40:07.474,CYCLE_SLEEP,76.5,
07:40:52.481,CYCLE_ACTIVE,52.4,
07:41:52.783,CYCLE_SLEEP,77.1,
07:42:37.789,CYCLE_ACTIVE,52.9,
07:43:37.906,CYCLE_SLEEP,77.1,
07:44:22.912,CYCLE_ACTIVE,52.4,
07:45:22.951,CYCLE_SLEEP,77.1,
07:46:07.957,CYCLE_ACTIVE,51.8,
07:47:08.082,CYCLE_SLEEP,76.5,
07:47:53.088,CYCLE_ACTIVE,52.9,
07:48:53.488,CYCLE_SLEEP,77.1,
07:49:38.494,CYCLE_ACTIVE,52.4,
07:50:38.547,CYCLE_SLEEP,76.5,
07:51:23.553,CYCLE_ACTIVE,52.4,
07:52:23.691,CYCLE_SLEEP,76.5,
07:53:08.697,CYCLE_ACTIVE,52.9,
07:54:08.919,CYCLE_SLEEP,77.1,
07:54:53.925,CYCLE_ACTIVE,52.4,
07:55:54.271,CYCLE_SLEEP,76.0,
07:56:39.277,CYCLE_ACTIVE,51.2,
07:57:39.475,CYCLE_SLEEP,75.5,
07:58:24.481,CYCLE_ACTIVE,51.2,
07:59:24.871,CYCLE_SLEEP,75.5,
08:00:09.877,CYCLE_ACTIVE,50.1,
08:01:10.139,CYCLE_SLEEP,74.3,
08:01:55.145,CYCLE_ACTIVE,50.1,
08:02:55.279,CYCLE_SLEEP,74.9,
08:03:40.285,CYCLE_ACTIVE,50.1,
08:04:40.411,CYCLE_SLEEP,74.3,
08:05:25.417,CYCLE_ACTIVE,50.1,
08:06:25.479,CYCLE_SLEEP,73.8,
08:07:10.485,CYCLE_ACTIVE,50.1,
08:08:10.599,CYCLE_SLEEP,74.3,
08:08:55.605,CYCLE_ACTIVE,50.1,
08:09:55.610,CYCLE_SLEEP,71.0,
08:10:40.616,CYCLE_ACTIVE,50.7,
08:11:40.957,CYCLE_SLEEP,74.3,
08:12:25.963,CYCLE_ACTIVE,50.1,
08:13:26.083,CYCLE_SLEEP,74.3,
08:14:11.093,CYCLE_ACTIVE,50.1,
08:15:11.215,CYCLE_SLEEP,73.2,
08:15:56.221,CYCLE_ACTIVE,49.6,
08:16:56.359,CYCLE_SLEEP,73.8,
08:17:41.365,CYCLE_ACTIVE,48.5,
08:18:41.707,CYCLE_SLEEP,73.8,
08:19:26.713,CYCLE_ACTIVE,49.0,
08:20:27.083,CYCLE_SLEEP,73.8,
08:21:12.090,CYCLE_ACTIVE,50.1,
08:22:12.171,CYCLE_SLEEP,73.2,
08:22:57.177,CYCLE_ACTIVE,49.6,
08:23:57.539,CYCLE_SLEEP,74.3,
08:24:42.545,CYCLE_ACTIVE,50.1,
08:25:42.774,CYCLE_SLEEP,74.3,
08:26:27.780,CYCLE_ACTIVE,50.1,
08:27:28.191,CYCLE_SLEEP,74.9,
08:28:13.197,CYCLE_ACTIVE,50.7,
08:29:13.451,CYCLE_SLEEP,75.5,
08:29:58.457,CYCLE_ACTIVE,51.8,
08:30:58.509,CYCLE_SLEEP,77.1,
08:31:43.515,CYCLE_ACTIVE,51.8,
08:32:43.703,CYCLE_SLEEP,76.5,
08:33:28.709,CYCLE_ACTIVE,52.9,
08:34:28.855,CYCLE_SLEEP,76.5,
08:35:13.861,CYCLE_ACTIVE,52.4,
08:36:14.255,CYCLE_SLEEP,77.7,
08:36:59.261,CYCLE_ACTIVE,52.4,
08:37:59.551,CYCLE_SLEEP,76.5,
08:38:44.557,CYCLE_ACTIVE,52.4,
08:39:44.579,CYCLE_SLEEP,77.1,
08:40:29.585,CYCLE_ACTIVE,52.4,
08:41:29.607,CYCLE_SLEEP,77.1,
08:42:14.613,CYCLE_ACTIVE,52.4,
08:43:14.873,CYCLE_SLEEP,77.7,
08:43:59.878,CYCLE_ACTIVE,52.4,
08:45:00.286,CYCLE_SLEEP,77.1,
08:45:45.292,CYCLE_ACTIVE,51.8,
08:46:45.631,CYCLE_SLEEP,77.7,
08:47:30.637,CYCLE_ACTIVE,52.9,
08:48:30.950,CYCLE_SLEEP,76.5,
08:49:15.956,CYCLE_ACTIVE,53.5,
08:50:16.243,CYCLE_SLEEP,78.2,
08:51:01.249,CYCLE_ACTIVE,52.4,
08:52:01.511,CYCLE_SLEEP,77.1,
08:52:46.517,CYCLE_ACTIVE,52.4,
08:53:46.563,CYCLE_SLEEP,76.0,
08:54:31.569,CYCLE_ACTIVE,51.8,
08:55:31.607,CYCLE_SLEEP,76.5,
08:56:16.613,CYCLE_ACTIVE,51.8,
08:57:16.626,CYCLE_SLEEP,76.0,
08:58:01.632,CYCLE_ACTIVE,51.8,
08:59:01.815,CYCLE_SLEEP,76.5,
08:59:46.821,CYCLE_ACTIVE,51.2,
09:00:47.135,CYCLE_SLEEP,77.1,
09:01:32.141,CYCLE_ACTIVE,52.4,
